company,ticker,period,period_end,listing_date,status,report_file,events_file,events_exists,events_size
HD현대중공업,329180,2021_Q2,2021-06-30,2021-09-17,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\HD현대중공업\HD현대중공업_2021_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\HD현대중공업\HD현대중공업_2021_Q2_events.jsonl,True,0
SK스퀘어,402340,2021_Q2,2021-06-30,2021-11-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\SK스퀘어\SK스퀘어_2021_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\SK스퀘어\SK스퀘어_2021_Q2_events.jsonl,True,0
SK스퀘어,402340,2021_Q3,2021-09-30,2021-11-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\SK스퀘어\SK스퀘어_2021_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\SK스퀘어\SK스퀘어_2021_Q3_events.jsonl,True,0
산일전기,062040,2021_Q2,2021-06-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q2_events.jsonl,True,0
산일전기,062040,2021_Q3,2021-09-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q3_events.jsonl,True,0
산일전기,062040,2021_Q4,2021-12-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2021_Q4_events.jsonl,True,0
산일전기,062040,2022_Q1,2022-03-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q1_events.jsonl,True,0
산일전기,062040,2022_Q2,2022-06-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q2_events.jsonl,True,0
산일전기,062040,2022_Q3,2022-09-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q3_events.jsonl,True,0
산일전기,062040,2022_Q4,2022-12-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2022_Q4_events.jsonl,True,0
산일전기,062040,2023_Q1,2023-03-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q1_events.jsonl,True,0
산일전기,062040,2023_Q2,2023-06-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q2_events.jsonl,True,0
산일전기,062040,2023_Q3,2023-09-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q3_events.jsonl,True,0
산일전기,062040,2023_Q4,2023-12-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2023_Q4_events.jsonl,True,0
산일전기,062040,2024_Q1,2024-03-31,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2024_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2024_Q1_events.jsonl,True,0
산일전기,062040,2024_Q2,2024-06-30,2024-07-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2024_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\산일전기\산일전기_2024_Q2_events.jsonl,True,0
세미파이브,490470,2021_Q2,2021-06-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q2_events.jsonl,True,0
세미파이브,490470,2021_Q3,2021-09-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q3_events.jsonl,True,0
세미파이브,490470,2021_Q4,2021-12-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2021_Q4_events.jsonl,True,0
세미파이브,490470,2022_Q1,2022-03-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q1_events.jsonl,True,0
세미파이브,490470,2022_Q2,2022-06-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q2_events.jsonl,True,0
세미파이브,490470,2022_Q3,2022-09-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q3_events.jsonl,True,0
세미파이브,490470,2022_Q4,2022-12-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2022_Q4_events.jsonl,True,0
세미파이브,490470,2023_Q1,2023-03-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q1_events.jsonl,True,0
세미파이브,490470,2023_Q2,2023-06-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q2_events.jsonl,True,0
세미파이브,490470,2023_Q3,2023-09-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q3_events.jsonl,True,0
세미파이브,490470,2023_Q4,2023-12-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2023_Q4_events.jsonl,True,0
세미파이브,490470,2024_Q1,2024-03-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q1_events.jsonl,True,0
세미파이브,490470,2024_Q2,2024-06-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q2_events.jsonl,True,0
세미파이브,490470,2024_Q3,2024-09-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q3_events.jsonl,True,0
세미파이브,490470,2024_Q4,2024-12-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2024_Q4_events.jsonl,True,0
세미파이브,490470,2025_Q1,2025-03-31,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q1_events.jsonl,True,0
세미파이브,490470,2025_Q2,2025-06-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q2_events.jsonl,True,0
세미파이브,490470,2025_Q3,2025-09-30,2025-12-29,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\세미파이브\세미파이브_2025_Q3_events.jsonl,True,0
퀄리타스반도체,432720,2021_Q2,2021-06-30,2023-10-27,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q2_events.jsonl,True,0
퀄리타스반도체,432720,2021_Q3,2021-09-30,2023-10-27,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q3_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q3_events.jsonl,True,0
퀄리타스반도체,432720,2021_Q4,2021-12-31,2023-10-27,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q4_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2021_Q4_events.jsonl,True,0
퀄리타스반도체,432720,2022_Q1,2022-03-31,2023-10-27,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2022_Q1_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2022_Q1_events.jsonl,True,0
퀄리타스반도체,432720,2022_Q2,2022-06-30,2023-10-27,pre_listing,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2022_Q2_원인후보_실제분석.md,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\퀄리타스반도체\퀄리타스반도체_2022_Q2_events.jsonl,True,0
