종목명,코드,기준보고서,현재가,PER,PBR,EPS,BPS,PER구간,EPS상태,최근순이익,3년전순이익,3년순이익방향,ROE,영업이익률,부채비율,이익체력판단,밸류에이션분류,저평가함정체크,해석메모
DSC인베스트먼트,241520,DSC인베스트먼트_2026_Q1_원인후보_실제분석.md,17500.0,27.47,3.59,637.0,4874.0,고PER,EPS낮음,17800000000.0,10600000000.0,순이익증가,13.65,49.49,36.52,이익체력양호,성장기대반영,특이 리스크 제한적,"EPS낮음, 고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
GS건설,006360,GS건설_2026_Q1_원인후보_실제분석.md,41300.0,37.79,0.73,1093.0,56462.0,고PER,EPS보통,93400000000.0,263900000000.0,순이익감소,1.69,3.52,234.2,이익체력주의,기대과열가능,부채비율 부담,"EPS보통, 고PER. 최근 순이익 방향은 순이익감소이며 분류는 기대과열가능."
HB테크놀러지,078150,HB테크놀러지_2026_Q1_원인후보_실제분석.md,4725.0,15.44,1.47,306.0,3208.0,보통PER,EPS낮음,28400000000.0,46500000000.0,순이익감소,9.96,3.89,34.08,이익체력주의,중립,특이 리스크 제한적,"EPS낮음, 보통PER. 최근 순이익 방향은 순이익감소이며 분류는 중립."
HD현대에너지솔루션,322000,HD현대에너지솔루션_2026_Q1_원인후보_실제분석.md,197400.0,53.05,5.29,3721.0,37302.0,초고PER,EPS보통,41700000000.0,100000000.0,순이익증가,9.98,8.37,26.96,이익체력양호,성장기대반영,특이 리스크 제한적,"EPS보통, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
HD현대일렉트릭,267260,HD현대일렉트릭_2026_Q1_원인후보_실제분석.md,1260000.0,62.0,22.35,20324.0,56366.0,초고PER,EPS높음,731800000000.0,498400000000.0,순이익증가,36.0,24.4,134.63,이익체력양호,성장기대반영,특이 리스크 제한적,"EPS높음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
HD현대중공업,329180,HD현대중공업_2026_Q1_원인후보_실제분석.md,688000.0,43.82,7.73,15702.0,89001.0,고PER,EPS높음,1420000000000.0,621500000000.0,순이익증가,15.15,11.59,180.07,이익체력양호,성장기대반영,특이 리스크 제한적,"EPS높음, 고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
KBI메탈,024840,KBI메탈_2026_Q1_원인후보_실제분석.md,9300.0,-9300.0,2.67,-1.0,3484.0,PER무효,EPS적자,1400000000.0,-1000000000.0,순이익불안정,0.97,3.21,175.63,이익체력주의,PER비교부적합,이익 변동성,"EPS적자, PER무효. 최근 순이익 방향은 순이익불안정이며 분류는 PER비교부적합."
KB금융,105560,KB금융_2026_Q1_원인후보_실제분석.md,160500.0,10.62,0.97,15116.0,164669.0,보통PER,EPS높음,5840000000000.0,1340000000000.0,순이익증가,9.6,29.21,1211.73,이익체력양호,이익체력양호후보,부채비율 부담,"EPS높음, 보통PER. 최근 순이익 방향은 순이익증가이며 분류는 이익체력양호후보."
LG전자,066570,LG전자_2026_Q1_원인후보_실제분석.md,137200.0,25.78,1.03,5321.0,132659.0,고PER,EPS보통,1220000000000.0,591400000000.0,순이익증가,4.27,2.78,140.33,이익체력보통,성장기대반영,특이 리스크 제한적,"EPS보통, 고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
LIG디펜스앤에어로스페이스,079550,LIG디펜스앤에어로스페이스_2026_Q1_원인후보_실제분석.md,833000.0,72.33,12.72,11516.0,65465.0,초고PER,EPS높음,237500000000.0,59700000000.0,순이익증가,16.09,7.42,446.35,이익체력양호,성장기대반영,부채비율 부담,"EPS높음, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
LS ELECTRIC,010120,LS ELECTRIC_2026_Q1_원인후보_실제분석.md,278000.0,145.47,19.97,1911.0,13920.0,초고PER,EPS보통,284300000000.0,50500000000.0,순이익증가,13.27,8.59,131.48,이익체력양호,성장기대반영,특이 리스크 제한적,"EPS보통, 초고PER. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
