direction,amount_tag,flow_category,dart_tag,window_category,followup,event_count,company_count,external_review_count,leading_signal_count
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락후반등,210,26,83,207
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락후반등,190,27,81,188
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승실패,177,26,86,177
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승지속,148,26,36,148
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락지속,145,26,40,145
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,상승지속,141,23,0,141
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락유지,136,25,33,134
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,단기되돌림,136,24,40,136
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승유지,134,23,47,134
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,단기반등,131,25,49,130
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락지속,130,26,0,130
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,상승실패,130,25,58,130
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락유지,106,26,33,106
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락유지,104,24,0,104
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,상승지속,102,25,31,102
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락지속,96,26,37,95
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,단기반등,96,24,30,96
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,상승유지,92,23,0,92
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,상승실패,91,26,0,90
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,단기되돌림,91,25,0,91
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,상승지속,89,27,0,89
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,상승유지,83,25,32,82
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,단기되돌림,80,23,27,80
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락후반등,78,25,71,78
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,단기반등,78,22,0,78
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승지속,74,24,0,74
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락후반등,73,23,0,72
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,하락후반등,70,25,69,69
