market_regime,direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,14,14,10,상승지속,11,0.7857142857142857,0,14,True,1.0
변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,13,13,11,하락후반등,10,0.7692307692307693,13,13,True,1.0
AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,누적배경,13,12,10,하락후반등,9,0.75,5,13,True,1.0
유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,12,12,8,상승실패,9,0.75,12,12,True,1.0
금리 인상/긴축장,down,거래대금평균상회,수급엇갈림,주변공시부재,선반영,14,13,9,하락후반등,9,0.6923076923076923,6,14,True,1.0
반도체 반등장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,20,20,11,상승실패,13,0.65,20,20,True,1.0
변동성 장세,down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,8,7,7,하락후반등,7,1.0,0,7,False,0.875
변동성 장세,up,거래대금약함,수급엇갈림,주변공시부재,선반영,6,6,5,상승지속,6,1.0,6,6,False,1.0
금리 인상/긴축장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,3,3,3,하락후반등,3,1.0,3,3,False,1.0
변동성 장세,down,거래대금평균상회,외국인기관동반매수,주변공시부재,누적배경,3,2,3,하락후반등,2,1.0,3,3,False,1.0
유동성/저금리 후반장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,누적배경,3,2,3,하락유지,2,1.0,3,3,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,수급엇갈림,주변공시부재,선반영,3,2,3,상승실패,2,1.0,0,3,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,수급엇갈림,주변공시부재,직접반응,3,2,3,상승실패,2,1.0,3,3,False,1.0
반도체 반등장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,2,2,2,하락후반등,2,1.0,2,2,False,1.0
유동성/저금리 후반장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,2,2,2,하락후반등,2,1.0,2,2,False,1.0
AI/전력기기 테마장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,설명부족,2,2,1,하락후반등,2,1.0,2,0,False,0.0
AI/전력기기 테마장,down,거래대금약함,수급엇갈림,주변공시부재,설명부족,1,1,1,단기반등,1,1.0,1,0,False,0.0
AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,하락후반등,1,1.0,1,0,False,0.0
AI/전력기기 테마장,up,거래대금약함,수급엇갈림,주변공시부재,설명부족,1,1,1,단기되돌림,1,1.0,1,0,False,0.0
AI/전력기기 테마장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승실패,1,1.0,1,1,False,1.0
금리 인상/긴축장,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,1,1,1,하락유지,1,1.0,1,1,False,1.0
금리 인상/긴축장,up,거래대금약함,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승실패,1,1.0,1,1,False,1.0
금리 인상/긴축장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
반도체 반등장,up,거래대금약함,수급엇갈림,주변공시부재,설명부족,2,1,1,상승실패,1,1.0,2,0,False,0.0
반도체 반등장,up,거래대금약함,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승실패,1,1.0,0,1,False,1.0
반도체 반등장,up,거래대금약함,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
반도체 반등장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,누적배경,1,1,1,상승지속,1,1.0,0,1,False,1.0
변동성 장세,down,거래대금급증,외국인기관동반매도,주변공시부재,직접반응,1,1,1,단기반등,1,1.0,0,0,False,0.0
변동성 장세,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,1,1,1,하락지속,1,1.0,1,1,False,1.0
