direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
down,거래대금평균상회,외국인기관동반매수,주변공시부재,설명부족,2,2,1,하락후반등,2,1.0,2,0,False,0.0
down,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,하락후반등,1,1.0,1,0,False,0.0
up,거래대금약함,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,9,9,7,하락후반등,8,0.8888888888888888,9,9,False,1.0
up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,88,84,21,상승실패,51,0.6071428571428571,84,88,False,1.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,10,10,9,상승실패,6,0.6,10,10,False,1.0
up,거래대금급증,외국인기관동반매도,주변공시부재,직접반응,32,31,8,상승실패,16,0.5161290322580645,31,31,False,0.96875
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,160,156,26,하락후반등,78,0.5,140,160,False,1.0
down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,9,8,8,하락지속,4,0.5,9,9,False,1.0
up,거래대금약함,외국인기관동반매도,주변공시부재,선반영,6,6,5,상승실패,3,0.5,5,6,False,1.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,선반영,4,4,4,상승실패,2,0.5,4,4,False,1.0
down,거래대금약함,수급엇갈림,주변공시부재,설명부족,2,2,2,하락후반등,1,0.5,2,0,False,0.0
up,거래대금약함,수급엇갈림,주변공시부재,설명부족,3,2,2,상승실패,1,0.5,3,0,False,0.0
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,157,154,26,상승지속,74,0.4805194805194805,0,157,False,1.0
down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,26,25,10,하락후반등,12,0.48,24,26,False,1.0
up,거래대금약함,외국인기관동반매도,주변공시부재,누적배경,20,19,13,상승실패,9,0.47368421052631576,17,20,False,1.0
down,거래대금약함,외국인기관동반매수,주변공시부재,누적배경,32,26,18,하락후반등,12,0.46153846153846156,27,32,False,1.0
up,거래대금급증,수급엇갈림,주변공시부재,직접반응,96,89,19,상승실패,40,0.449438202247191,32,96,False,1.0
down,거래대금평균상회,수급엇갈림,주변공시부재,누적배경,43,41,17,하락후반등,18,0.43902439024390244,22,43,False,1.0
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,313,298,26,상승실패,130,0.436241610738255,105,313,False,1.0
down,거래대금평균상회,수급엇갈림,주변공시부재,선반영,43,39,16,하락후반등,17,0.4358974358974359,15,43,False,1.0
down,거래대금약함,수급엇갈림,주변공시부재,누적배경,75,65,23,하락후반등,28,0.4307692307692308,73,75,False,1.0
up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,50,49,18,상승지속,21,0.42857142857142855,0,48,False,0.96
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,170,165,26,하락후반등,70,0.42424242424242425,161,168,False,0.9882352941176471
down,거래대금급증,수급엇갈림,주변공시부재,직접반응,34,33,17,하락지속,14,0.42424242424242425,12,34,False,1.0
up,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,157,154,25,상승실패,65,0.42207792207792205,142,157,False,1.0
down,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,49,48,18,하락후반등,20,0.4166666666666667,47,48,False,0.9795918367346939
up,거래대금평균상회,수급엇갈림,주변공시부재,선반영,36,34,19,상승실패,14,0.4117647058823529,9,36,False,1.0
