ticker,name,event_count,required_start,required_end,before_min,before_max,before_rows,fetch_start,fetch_end,fetched_min,fetched_max,fetched_rows,after_min,after_max,after_rows,status
000660,SK하이닉스,2,2025-01-08,2025-10-16,2019-08-21,2025-12-30,753,2025-12-31,2025-10-16,,,0,2019-08-21,2025-12-30,753,skip_already_covered
000720,현대건설,1,2023-06-21,2023-08-10,2019-08-21,2024-12-30,672,2024-12-31,2023-08-10,,,0,2019-08-21,2024-12-30,672,skip_already_covered
001440,대한전선,6,2021-06-17,2026-03-19,2019-08-21,2024-12-30,672,2024-12-31,2026-03-19,2025-08-19,2026-03-19,141,2019-08-21,2026-03-19,813,ok
001510,SK증권,4,2021-04-02,2025-11-29,2019-08-21,2024-12-30,672,2024-12-31,2025-11-29,2025-07-04,2025-11-28,100,2019-08-21,2025-11-28,772,ok
005490,POSCO홀딩스,6,2023-03-29,2025-05-15,2019-08-21,2025-12-30,753,2025-12-31,2025-05-15,,,0,2019-08-21,2025-12-30,753,skip_already_covered
005930,삼성전자,3,2022-12-23,2026-01-12,2019-08-21,2025-12-30,753,2025-12-31,2026-01-12,2026-01-02,2026-01-12,7,2019-08-21,2026-01-12,760,ok
005935,삼성전자우,2,2025-11-16,2026-01-10,2019-08-21,2025-12-30,753,2025-12-31,2026-01-10,2026-01-02,2026-01-09,6,2019-08-21,2026-01-09,759,ok
006360,GS건설,4,2022-09-09,2026-03-26,2019-08-21,2024-12-30,672,2024-12-31,2026-03-26,2025-08-19,2026-03-26,146,2019-08-21,2026-03-26,818,ok
006400,삼성SDI,5,2022-06-17,2026-05-07,2019-08-21,2025-12-30,753,2025-12-31,2026-05-07,2026-01-02,2026-04-29,80,2019-08-21,2026-04-29,833,ok
009150,삼성전기,5,2024-12-04,2026-03-26,2019-08-21,2025-12-30,753,2025-12-31,2026-03-26,2026-01-02,2026-03-26,56,2019-08-21,2026-03-26,809,ok
010170,대한광통신,6,2022-06-08,2026-04-23,2019-08-21,2024-12-30,672,2024-12-31,2026-04-23,2025-08-19,2026-04-23,166,2019-08-21,2026-04-23,838,ok
012450,한화에어로스페이스,4,2023-07-26,2026-02-19,2019-08-21,2025-12-30,753,2025-12-31,2026-02-19,2026-01-02,2026-02-19,32,2019-08-21,2026-02-19,785,ok
028050,삼성E&A,2,2025-11-13,2026-01-10,2019-08-21,2024-12-30,672,2024-12-31,2026-01-10,2025-08-12,2026-01-09,100,2019-08-21,2026-01-09,772,ok
034020,두산에너빌리티,5,2021-05-28,2022-11-27,2019-08-21,2025-12-30,753,2025-12-31,2022-11-27,,,0,2019-08-21,2025-12-30,753,skip_already_covered
042700,한미반도체,3,2022-06-15,2023-05-26,2019-08-21,2025-12-30,753,2025-12-31,2023-05-26,,,0,2019-08-21,2025-12-30,753,skip_already_covered
047040,대우건설,2,2021-05-28,2021-08-06,2019-08-21,2024-12-30,672,2024-12-31,2021-08-06,,,0,2019-08-21,2024-12-30,672,skip_already_covered
066570,LG전자,1,2021-08-29,2021-10-18,2019-08-21,2024-12-30,672,2024-12-31,2021-10-18,,,0,2019-08-21,2024-12-30,672,skip_already_covered
086520,에코프로,3,2021-08-04,2026-01-10,2019-08-21,2024-12-30,672,2024-12-31,2026-01-10,2025-08-12,2026-01-09,100,2019-08-21,2026-01-09,772,ok
222080,씨아이에스,5,2022-06-15,2025-04-20,2019-08-21,2024-12-30,672,2024-12-31,2025-04-20,2025-01-02,2025-04-18,72,2019-08-21,2025-04-18,744,ok
241520,DSC인베스트먼트,2,2023-03-31,2024-10-19,2019-08-21,2024-12-30,672,2024-12-31,2024-10-19,,,0,2019-08-21,2024-12-30,672,skip_already_covered
267260,HD현대일렉트릭,1,2023-07-20,2023-09-08,2019-08-21,2025-12-30,753,2025-12-31,2023-09-08,,,0,2019-08-21,2025-12-30,753,skip_already_covered
298040,효성중공업,2,2022-12-28,2026-05-07,2019-08-21,2025-12-30,753,2025-12-31,2026-05-07,2026-01-02,2026-04-29,80,2019-08-21,2026-04-29,833,ok
298380,에이비엘바이오,5,2021-08-28,2026-04-20,2019-08-21,2024-12-30,672,2024-12-31,2026-04-20,2025-08-19,2026-04-20,163,2019-08-21,2026-04-20,835,ok
322000,HD현대에너지솔루션,4,2023-12-09,2026-03-27,2019-11-19,2024-12-30,582,2024-12-31,2026-03-27,2025-08-19,2026-03-27,147,2019-11-19,2026-03-27,729,ok
329180,HD현대중공업,2,2024-10-02,2025-09-04,2021-09-17,2025-12-30,553,2025-12-31,2025-09-04,,,0,2021-09-17,2025-12-30,553,skip_already_covered
402340,SK스퀘어,1,2021-11-27,2022-01-16,2021-11-29,2025-12-30,507,2021-11-27,2022-01-16,2021-11-29,2022-01-14,34,2021-11-29,2025-12-30,507,ok
