basis_date,rank,ticker,name,price,change_rate,market_cap,trade_amount,universe_status,company_folder_exists,company_folder,report_status,first_seen_date,last_seen_date,seen_count
2026-08-05,1,000660,SK하이닉스,1668000,5.77,0,6621650676150,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK하이닉스,exists,2026-05-07,2026-08-05,60
2026-08-05,2,005930,삼성전자,246000,2.50,0,5610076087593,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전자,exists,2026-05-07,2026-08-05,60
2026-08-05,3,009150,삼성전기,1356000,14.43,0,1364762760000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전기,exists,2026-05-07,2026-08-05,60
2026-08-05,4,402340,SK스퀘어,1119000,5.57,0,761429792020,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK스퀘어,exists,2026-05-07,2026-08-05,60
2026-08-05,5,006340,대원전선,15450,12.04,0,684655960655,existing,True,ai 주가 변동 원인 분석/00_기업별분석/대원전선,exists,2026-05-07,2026-08-05,23
2026-08-05,6,010170,대한광통신,12070,18.57,0,486189659695,existing,True,ai 주가 변동 원인 분석/00_기업별분석/대한광통신,exists,2026-05-07,2026-08-05,26
2026-08-05,7,475150,SK이터닉스,57700,3.41,0,388722955600,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK이터닉스,report_needed,2026-06-11,2026-08-05,30
2026-08-05,8,347850,디앤디파마텍,53100,-18.06,0,377861956900,existing,True,ai 주가 변동 원인 분석/00_기업별분석/디앤디파마텍,report_needed,2026-05-27,2026-08-05,6
2026-08-05,9,278470,에이피알,357500,-0.56,0,257542027250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/에이피알,report_needed,2026-07-02,2026-08-05,4
2026-08-05,10,035420,NAVER,229000,1.10,0,250317809250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/NAVER,exists,2026-05-14,2026-08-05,44
2026-08-05,11,009830,한화솔루션,30150,12.50,0,238114335725,existing,True,ai 주가 변동 원인 분석/00_기업별분석/한화솔루션,exists,2026-05-14,2026-08-05,5
2026-08-05,12,066570,LG전자,179500,8.46,0,237737997900,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LG전자,exists,2026-05-07,2026-08-05,60
2026-08-05,13,005380,현대차,404500,3.06,0,221508528000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/현대차,exists,2026-05-07,2026-08-05,60
2026-08-05,14,011070,LG이노텍,601000,14.48,0,204369878000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LG이노텍,exists,2026-05-13,2026-08-05,53
2026-08-05,15,032830,삼성생명,294000,5.76,0,183077762549,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성생명,exists,2026-06-02,2026-08-05,24
2026-08-05,16,017670,SK텔레콤,93000,1.75,0,181864365150,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK텔레콤,report_needed,2026-06-01,2026-08-05,16
2026-08-05,17,196170,알테오젠,277000,3.75,0,177858214500,existing,True,ai 주가 변동 원인 분석/00_기업별분석/알테오젠,exists,2026-05-13,2026-08-05,18
2026-08-05,18,298040,효성중공업,2985000,12.43,0,177055736000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/효성중공업,exists,2026-05-07,2026-08-05,24
2026-08-05,19,034020,두산에너빌리티,77000,5.48,0,169199549750,existing,True,ai 주가 변동 원인 분석/00_기업별분석/두산에너빌리티,exists,2026-05-07,2026-08-05,58
2026-08-05,20,047040,대우건설,16230,6.78,0,153208506035,existing,True,ai 주가 변동 원인 분석/00_기업별분석/대우건설,exists,2026-05-07,2026-08-05,18
2026-08-05,21,439960,코스모로보틱스,19000,5.67,0,153204924590,existing,True,ai 주가 변동 원인 분석/00_기업별분석/코스모로보틱스,report_needed,2026-05-11,2026-08-05,21
2026-08-05,22,036930,주성엔지니어링,142900,5.07,0,148429167250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/주성엔지니어링,exists,2026-05-15,2026-08-05,55
2026-08-05,23,105560,KB금융,170700,1.13,0,143901967400,existing,True,ai 주가 변동 원인 분석/00_기업별분석/KB금융,exists,2026-05-20,2026-08-05,41
2026-08-05,24,006360,GS건설,31150,8.35,0,143143568400,existing,True,ai 주가 변동 원인 분석/00_기업별분석/GS건설,exists,2026-07-23,2026-08-05,3
2026-08-05,25,080220,제주반도체,75500,7.86,0,140342078650,existing,True,ai 주가 변동 원인 분석/00_기업별분석/제주반도체,exists,2026-05-14,2026-08-05,37
2026-08-05,26,010120,LS ELECTRIC,212000,7.61,0,137209626500,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LS ELECTRIC,exists,2026-05-07,2026-08-05,48
2026-08-05,27,012330,현대모비스,503000,4.47,0,136480189250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/현대모비스,exists,2026-05-11,2026-08-05,55
2026-08-05,28,477850,마키나락스,29800,29.85,0,132411736225,existing,True,ai 주가 변동 원인 분석/00_기업별분석/마키나락스,report_needed,2026-05-22,2026-08-05,6
2026-08-05,29,353200,대덕전자,106300,8.69,0,132269103850,existing,True,ai 주가 변동 원인 분석/00_기업별분석/대덕전자,report_needed,2026-05-26,2026-08-05,15
2026-08-05,30,329180,HD현대중공업,509000,5.38,0,131856349750,existing,True,ai 주가 변동 원인 분석/00_기업별분석/HD현대중공업,exists,2026-05-07,2026-08-05,40
2026-08-04,7,012450,한화에어로스페이스,1004000,9.25,0,290098928936,existing,True,ai 주가 변동 원인 분석/00_기업별분석/한화에어로스페이스,exists,2026-05-07,2026-08-04,44
2026-08-04,14,119850,지엔씨에너지,51200,21.9,0,183600313575,existing,False,ai 주가 변동 원인 분석/00_기업별분석/지엔씨에너지,report_needed,2026-07-24,2026-08-04,2
2026-08-04,17,042700,한미반도체,203000,0.25,0,172614809250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/한미반도체,exists,2026-05-07,2026-08-04,54
2026-08-04,18,006400,삼성SDI,419500,7.7,0,162912283250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성SDI,exists,2026-05-07,2026-08-04,53
2026-08-04,21,028260,삼성물산,322500,-1.98,0,154961375250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성물산,exists,2026-05-07,2026-08-04,45
2026-08-04,23,058610,에스피지,108800,0.09,0,146650530700,existing,False,ai 주가 변동 원인 분석/00_기업별분석/에스피지,report_needed,2026-07-22,2026-08-04,4
2026-08-04,24,079550,LIG디펜스앤에어로스페이스,801000,14.59,0,141533467500,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LIG디펜스앤에어로스페이스,exists,2026-05-07,2026-08-04,13
2026-08-04,29,028050,삼성E&A,47750,7.55,0,127671559100,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성E&A,exists,2026-05-07,2026-08-04,8
2026-08-03,16,000150,두산,1238000,5.81,0,139562236500,existing,False,ai 주가 변동 원인 분석/00_기업별분석/두산,report_needed,2026-05-29,2026-08-03,10
2026-08-03,19,277810,레인보우로보틱스,458500,5.89,0,136124765750,existing,True,ai 주가 변동 원인 분석/00_기업별분석/레인보우로보틱스,exists,2026-05-11,2026-08-03,6
2026-08-03,22,240810,원익IPS,93700,-4.0,0,126718195350,existing,False,ai 주가 변동 원인 분석/00_기업별분석/원익IPS,report_needed,2026-06-05,2026-08-03,27
2026-08-03,23,108490,로보티즈,215500,17.25,0,125250976100,existing,False,ai 주가 변동 원인 분석/00_기업별분석/로보티즈,report_needed,2026-06-01,2026-08-03,3
2026-08-03,30,034730,SK,523000,-6.1,0,116593259000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK,exists,2026-05-20,2026-08-03,25
2026-07-31,21,068270,셀트리온,186700,-1.74,0,209523791600,existing,False,ai 주가 변동 원인 분석/00_기업별분석/셀트리온,report_needed,2026-07-24,2026-07-31,5
2026-07-31,24,096770,SK이노베이션,110500,-5.23,0,199501871600,existing,False,ai 주가 변동 원인 분석/00_기업별분석/SK이노베이션,report_needed,2026-07-13,2026-07-31,7
2026-07-31,26,000270,기아,131900,9.19,0,186033964600,existing,True,ai 주가 변동 원인 분석/00_기업별분석/기아,exists,2026-05-11,2026-07-31,33
2026-07-31,27,002990,금호건설,9110,-4.0,0,179618867260,existing,False,ai 주가 변동 원인 분석/00_기업별분석/금호건설,report_needed,2026-06-30,2026-07-31,10
2026-07-31,28,055550,신한지주,100700,-0.1,0,172673890150,existing,False,ai 주가 변동 원인 분석/00_기업별분석/신한지주,report_needed,2026-06-05,2026-07-31,16
2026-07-31,30,267260,HD현대일렉트릭,684000,17.32,0,171111132000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/HD현대일렉트릭,exists,2026-05-07,2026-07-31,17
2026-07-30,17,042660,한화오션,79300,6.3,0,201303143150,existing,True,ai 주가 변동 원인 분석/00_기업별분석/한화오션,exists,2026-05-11,2026-07-30,29
2026-07-30,21,003230,삼양식품,1243000,1.89,0,175305028000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼양식품,exists,2026-05-14,2026-07-30,3
2026-07-30,26,009540,HD한국조선해양,368500,10.0,0,156220086250,existing,False,ai 주가 변동 원인 분석/00_기업별분석/HD한국조선해양,report_needed,2026-06-16,2026-07-30,2
2026-07-30,28,373220,LG에너지솔루션,320000,6.49,0,152362755250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LG에너지솔루션,exists,2026-05-15,2026-07-30,10
2026-07-30,29,090430,아모레퍼시픽,134000,9.93,0,151117118050,existing,False,ai 주가 변동 원인 분석/00_기업별분석/아모레퍼시픽,report_needed,2026-07-30,2026-07-30,1
2026-07-29,27,035720,카카오,35300,-0.98,0,177717842350,existing,False,ai 주가 변동 원인 분석/00_기업별분석/카카오,report_needed,2026-06-01,2026-07-29,2
2026-07-29,29,214450,파마리서치,391000,4.13,0,174306645750,existing,False,ai 주가 변동 원인 분석/00_기업별분석/파마리서치,report_needed,2026-07-28,2026-07-29,2
2026-07-29,30,319400,현대무벡스,23450,12.47,0,173217309550,existing,True,ai 주가 변동 원인 분석/00_기업별분석/현대무벡스,exists,2026-05-11,2026-07-29,6
2026-07-28,8,413630,씨피시스템,4200,3.32,0,259241390326,existing,False,ai 주가 변동 원인 분석/00_기업별분석/씨피시스템,report_needed,2026-07-28,2026-07-28,1
