basis_date,rank,ticker,name,price,change_rate,market_cap,trade_amount,universe_status,company_folder_exists,company_folder,report_status
latest,1,000660,SK하이닉스,1550000,-14.65,0,12904516356126,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK하이닉스,exists
latest,2,005930,삼성전자,220000,-13.39,0,9401020869850,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전자,exists
latest,3,009150,삼성전기,1114000,-15.92,0,1344705808500,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전기,exists
latest,4,402340,SK스퀘어,925000,-15.60,0,1253292943164,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK스퀘어,exists
latest,5,035420,NAVER,210000,-6.67,0,496680892750,existing,True,ai 주가 변동 원인 분석/00_기업별분석/NAVER,exists
latest,6,475150,SK이터닉스,48700,-14.71,0,370244056425,new,True,ai 주가 변동 원인 분석/00_기업별분석/SK이터닉스,report_needed
latest,7,005380,현대차,364000,-9.68,0,331413813000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/현대차,exists
latest,8,413630,씨피시스템,4200,3.32,0,259241390326,new,True,ai 주가 변동 원인 분석/00_기업별분석/씨피시스템,report_needed
latest,9,207940,삼성바이오로직스,1549000,0.26,0,240554307500,new,True,ai 주가 변동 원인 분석/00_기업별분석/삼성바이오로직스,report_needed
latest,10,068270,셀트리온,177400,-0.73,0,236369436900,new,True,ai 주가 변동 원인 분석/00_기업별분석/셀트리온,report_needed
latest,11,105560,KB금융,165200,-4.29,0,217007522300,existing,True,ai 주가 변동 원인 분석/00_기업별분석/KB금융,exists
latest,12,017670,SK텔레콤,82200,-16.04,0,208528077350,new,True,ai 주가 변동 원인 분석/00_기업별분석/SK텔레콤,report_needed
latest,13,006340,대원전선,13600,-2.72,0,195889215670,existing,True,ai 주가 변동 원인 분석/00_기업별분석/대원전선,exists
latest,14,028260,삼성물산,305000,-10.16,0,193176148250,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성물산,exists
latest,15,006400,삼성SDI,382000,-11.37,0,182892405750,existing,True,ai 주가 변동 원인 분석/00_기업별분석/삼성SDI,exists
latest,16,439960,코스모로보틱스,15120,5.59,0,171075141280,new,True,ai 주가 변동 원인 분석/00_기업별분석/코스모로보틱스,report_needed
latest,17,012330,현대모비스,440000,-5.07,0,167556301000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/현대모비스,exists
latest,18,329180,HD현대중공업,451000,-7.30,0,163731347000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/HD현대중공업,exists
latest,19,034730,SK,541000,-13.16,0,155607136000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/SK,exists
latest,20,066570,LG전자,157500,-8.59,0,151212728600,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LG전자,exists
latest,21,086790,하나금융지주,123000,-5.82,0,150948946600,new,True,ai 주가 변동 원인 분석/00_기업별분석/하나금융지주,report_needed
latest,22,012450,한화에어로스페이스,875000,-2.67,0,150851251000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/한화에어로스페이스,exists
latest,23,000150,두산,1046000,-12.61,0,147917478500,new,True,ai 주가 변동 원인 분석/00_기업별분석/두산,report_needed
latest,24,011070,LG이노텍,514000,-16.29,0,146746231500,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LG이노텍,exists
latest,25,267260,HD현대일렉트릭,705000,-11.54,0,142170902000,existing,True,ai 주가 변동 원인 분석/00_기업별분석/HD현대일렉트릭,exists
latest,26,034020,두산에너빌리티,64700,-8.74,0,141332811450,existing,True,ai 주가 변동 원인 분석/00_기업별분석/두산에너빌리티,exists
latest,27,010120,LS ELECTRIC,175500,-12.25,0,140127367800,existing,True,ai 주가 변동 원인 분석/00_기업별분석/LS ELECTRIC,exists
latest,28,036930,주성엔지니어링,128800,-14.08,0,139723051850,existing,True,ai 주가 변동 원인 분석/00_기업별분석/주성엔지니어링,exists
latest,29,214450,파마리서치,375500,1.49,0,138179289000,new,True,ai 주가 변동 원인 분석/00_기업별분석/파마리서치,report_needed
latest,30,000270,기아,121800,-6.60,0,137120934400,existing,True,ai 주가 변동 원인 분석/00_기업별분석/기아,exists
