ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason
000660,SK하이닉스,2026-09-03,2026_Q3,미분류,down,-1.0539367637941721,1596000.0,4244461616000.0,9650976952889.867,거래대금약함,외국인기관동반매도,-1006233.0,-939470.0,-626548.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
005930,삼성전자,2026-09-03,2026_Q3,미분류,down,-0.1996007984031989,250000.0,3452976472500.0,7048008657020.556,거래대금약함,외국인기관동반매도,-1939540.0,-6507188.0,495754.0,DART공시동반,2,2026-08-31 대규모기업집단현황공시[분기별공시(대표회사용)] / 2026-08-31 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched
047050,포스코인터내셔널,2026-09-03,2026_Q3,미분류,up,4.3233082706766846,55500.0,2054807219150.0,78064423649.44444,거래대금급증,수급엇갈림,-328954.0,17555463.0,-161458.0,DART공시동반,1,2026-09-03 기업설명회(IR)개최(안내공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched
009150,삼성전기,2026-09-03,2026_Q3,미분류,down,-3.7142857142857144,1348000.0,845469893500.0,1227524083008.6445,거래대금약함,외국인기관동반매도,-145132.0,-59102.0,203987.0,DART공시동반,2,2026-09-01 단일판매ㆍ공급계약체결               / 2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
316140,우리금융지주,2026-09-03,2026_Q3,미분류,up,0.43478260869564966,34650.0,610420083375.0,80573195332.77777,거래대금급증,외국인기관동반매수,13290258.0,1325675.0,-595969.0,DART공시동반,11,2026-09-02 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-09-02 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-09-02 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched
022100,포스코DX,2026-09-03,2026_Q3,미분류,up,2.392344497607657,21400.0,486705203175.0,17252931285.555557,거래대금급증,수급엇갈림,-48194.0,9079241.0,-86953.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
402340,SK스퀘어,2026-09-03,2026_Q3,미분류,down,-0.10183299389001643,981000.0,395569483500.0,990889029336.1555,거래대금약함,외국인기관동반매도,-51675.0,-168677.0,211194.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
196170,알테오젠,2026-09-03,2026_Q3,미분류,down,-5.192629815745398,283000.0,363712803250.0,172163458016.66666,거래대금급증,외국인기관동반매도,-644567.0,-401629.0,1073289.0,DART공시동반,2,2026-09-02 투자판단관련주요경영사항              (재조합 인간 히알루로니다제 제품 ALT-B4 독점적 옵션·라이선스 계약 체결) / 2026-08-31 투자판단관련주요경영사항              (ALT-B4 라이선스 계약 파트너사 MSD로부터 판매 마일스톤 수령 예정),직접반응,,,ok,,False,strategy_condition_not_matched
105560,KB금융,2026-09-03,2026_Q3,미분류,up,5.204021289178007,177900.0,270506250500.0,227746905495.97778,거래대금평균상회,수급엇갈림,-296378.0,514610.0,-226944.0,DART공시동반,2,2026-08-31 증권발행실적보고서 / 2026-08-31 투자설명서,직접반응,,,ok,,False,strategy_condition_not_matched
067290,JW신약,2026-09-03,2026_Q3,미분류,up,10.64516129032258,3430.0,259279515075.0,32817396611.02222,거래대금급증,외국인기관동반매수,291488.0,1401.0,-316659.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
034020,두산에너빌리티,2026-09-03,2026_Q3,미분류,up,3.394255874673635,79200.0,253882040550.0,203586952394.44446,거래대금평균상회,외국인기관동반매도,-1521790.0,-473346.0,1950383.0,DART공시동반,5,2026-09-01 [기재정정]단일판매ㆍ공급계약체결               / 2026-09-01 단일판매ㆍ공급계약체결               / 2026-08-31 [기재정정]대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
006400,삼성SDI,2026-09-03,2026_Q3,미분류,up,0.18587360594795044,539000.0,237749818000.0,224504626241.77777,거래대금평균상회,수급엇갈림,-245323.0,78797.0,163296.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
005380,현대차,2026-09-03,2026_Q3,미분류,up,1.4550264550264647,383500.0,178017475000.0,325969107653.6667,거래대금약함,수급엇갈림,73724.0,-425963.0,351086.0,DART공시동반,4,2026-09-03 기업설명회(IR)개최(안내공시)               / 2026-09-03 기업설명회(IR)개최(안내공시)               / 2026-09-02 생산재개(자율공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched
055550,신한지주,2026-09-03,2026_Q3,미분류,up,3.619909502262453,114500.0,170330989200.0,133903756833.86667,거래대금평균상회,수급엇갈림,-592364.0,1035209.0,-248762.0,DART공시동반,3,2026-09-02 증권신고서(채무증권) / 2026-09-02 주식등의대량보유상황보고서(약식) / 2026-09-02 [기재정정]주요사항보고서(상각형조건부자본증권발행결정),직접반응,,,ok,,False,strategy_condition_not_matched
079650,서산,2026-09-03,2026_Q3,미분류,up,11.487481590574378,7570.0,168097476235.0,34042708145.622223,거래대금급증,외국인기관동반매수,56992.0,5450.0,-63524.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
000810,삼성화재,2026-09-03,2026_Q3,미분류,up,6.849315068493156,702000.0,164648541539.0,73288556586.84445,거래대금급증,수급엇갈림,-56189.0,59953.0,-6448.0,DART공시동반,3,2026-09-03 풍문또는보도에대한해명(미확정)               / 2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)] / 2026-08-31 특수관계인과의수익증권거래,직접반응,,,ok,,False,strategy_condition_not_matched
373220,LG에너지솔루션,2026-09-03,2026_Q3,미분류,up,5.179856115107917,365500.0,154951735750.0,111382112405.55556,거래대금평균상회,외국인기관동반매수,96535.0,65400.0,-90115.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
278470,에이피알,2026-09-03,2026_Q3,미분류,down,-3.1026252983293534,406000.0,152884378761.0,111363657672.62222,거래대금평균상회,수급엇갈림,23375.0,-50818.0,29161.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
010140,삼성중공업,2026-09-03,2026_Q3,미분류,up,8.575727181544623,21650.0,151618409420.0,73686385080.88889,거래대금급증,외국인기관동반매수,691780.0,631484.0,-1316123.0,DART공시동반,3,2026-08-31 [기재정정]단일판매ㆍ공급계약체결               / 2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)] / 2026-08-31 단일판매ㆍ공급계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched
329180,HD현대중공업,2026-09-03,2026_Q3,미분류,up,3.08056872037914,435000.0,149543330250.0,130020586207.2,거래대금평균상회,외국인기관동반매도,-24828.0,-62895.0,75231.0,DART공시동반,1,2026-08-31 중대재해발생              ,직접반응,,,ok,,False,strategy_condition_not_matched
