ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
000720,현대건설,2026-05-19,2026_Q2,변동성 장세,down,-3.864734299516903,139300.0,131948341700.0,239352516894.0,거래대금약함,외국인기관동반매수,201944.0,207615.0,-415006.0,DART공시동반,3,2026-05-15 분기보고서 (2026.03) / 2026-05-14 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-05-14 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
001440,대한전선,2026-05-19,2026_Q2,변동성 장세,down,-8.433734939759042,53200.0,237036023650.0,618760888064.3939,거래대금약함,외국인기관동반매수,41231.0,252751.0,-281417.0,DART공시동반,1,2026-05-15 분기보고서 (2026.03),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
001510,SK증권,2026-05-19,2026_Q2,변동성 장세,down,-4.738154613466339,3820.0,20288858487.0,110743892615.33333,거래대금약함,외국인기관동반매수,1340648.0,436888.0,-1662850.0,DART공시동반,5,2026-05-15 [기재정정]일괄신고서(기타파생결합사채) / 2026-05-15 [기재정정]일괄신고서(기타파생결합증권) / 2026-05-15 [기재정정]일괄신고서(파생결합사채-주가연계파생결합사채),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
012200,계양전기,2026-05-19,2026_Q2,변동성 장세,down,-5.131128848346633,8320.0,10227926760.0,42174905677.27273,거래대금약함,외국인기관동반매수,1046286.0,49327.0,-1043033.0,DART공시동반,1,2026-05-19 타인에대한채무보증결정              ,직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
012860,모베이스전자,2026-05-19,2026_Q2,변동성 장세,down,-4.740904079382579,4320.0,10907155143.0,31575418582.242424,거래대금약함,외국인기관동반매수,937720.0,22990.0,-936356.0,DART공시동반,2,2026-05-15 주식등의대량보유상황보고서(일반) / 2026-05-14 분기보고서 (2026.03),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
018880,한온시스템,2026-05-19,2026_Q2,변동성 장세,down,-7.331975560081472,4550.0,72642175703.0,136890565379.93939,거래대금약함,외국인기관동반매수,4215484.0,629582.0,-4668064.0,DART공시동반,1,2026-05-14 분기보고서 (2026.03),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
090710,휴림로봇,2026-05-19,2026_Q2,변동성 장세,down,-8.146964856230031,11500.0,70235438270.0,143690200932.87878,거래대금약함,외국인기관동반매수,199398.0,119902.0,-304275.0,DART공시동반,2,2026-05-15 [기재정정]분기보고서 (2026.03) / 2026-05-15 분기보고서 (2026.03),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
452260,한화갤러리아,2026-05-19,2026_Q2,변동성 장세,down,-2.265372168284785,3020.0,17105945402.0,38103713640.69697,거래대금약함,외국인기관동반매수,2388544.0,113768.0,1145270.0,DART공시동반,2,2026-05-14 [기재정정]분기보고서 (2026.03) / 2026-05-14 분기보고서 (2026.03),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수
078150,HB테크놀러지,2026-05-19,2026_Q2,변동성 장세,up,0.6802721088435382,3700.0,10296129474.0,36949256735.30303,거래대금약함,외국인기관동반매수,759369.0,1702.0,-923734.0,DART공시동반,1,2026-05-15 분기보고서 (2026.03),직접반응,,,ok,,True,,H01,2.0,매수 후보,다음 거래일 분할 진입 검토,next_open,20.0,25.38749272329799,0.8461538461538461,수익률에 큰 아웃라이어가 포함될 수 있어 최대 손실과 종목 쏠림 관리 필요,exact,외국인기관동반매수
079550,LIG디펜스앤에어로스페이스,2026-05-19,2026_Q2,변동성 장세,up,2.741358760429091,862000.0,317543903000.0,376163910285.3333,거래대금약함,외국인기관동반매수,36717.0,72966.0,-103908.0,DART공시동반,1,2026-05-15 분기보고서 (2026.03),직접반응,,,ok,,True,,H01,2.0,매수 후보,다음 거래일 분할 진입 검토,next_open,20.0,25.38749272329799,0.8461538461538461,수익률에 큰 아웃라이어가 포함될 수 있어 최대 손실과 종목 쏠림 관리 필요,exact,외국인기관동반매수
