ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
000660,SK하이닉스,2026-06-24,2026_Q2,변동성 장세,up,0.9784735812133016,2580000.0,19385797230696.0,9413539353621.229,거래대금급증,수급엇갈림,-3165138.0,97602.0,3044675.0,DART공시동반,4,2026-06-24 증권신고서(지분증권) / 2026-06-24 주요사항보고서(해외증권시장주권등상장결정) / 2026-06-24 주요사항보고서(유상증자결정),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
005930,삼성전자,2026-06-24,2026_Q2,변동성 장세,up,9.838709677419356,340500.0,15837943400424.0,8333764027247.649,거래대금평균상회,외국인기관동반매도,-6583484.0,-3099371.0,9566048.0,DART공시동반,4,2026-06-24 풍문또는보도에대한해명(미확정)               / 2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
402340,SK스퀘어,2026-06-24,2026_Q2,변동성 장세,down,-1.801310043668125,1799000.0,3832857085239.0,1090735857091.4736,거래대금급증,수급엇갈림,-1421148.0,141888.0,1252653.0,DART공시동반,4,2026-06-24 주요사항보고서(해외증권시장주권등상장결정)(자회사의 주요경영사항)               / 2026-06-24 주요사항보고서(유상증자결정)(자회사의 주요경영사항)               / 2026-06-24 증권예탁증권(DR)발행결정(자회사의 주요경영사항)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
009150,삼성전기,2026-06-24,2026_Q2,변동성 장세,down,-1.3065326633165841,1964000.0,2178350299461.0,1554683338300.1929,거래대금평균상회,수급엇갈림,-15660.0,111221.0,-83870.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
005380,현대차,2026-06-24,2026_Q2,변동성 장세,down,-0.3913894324853229,509000.0,631565471000.0,1015747888528.2456,거래대금약함,외국인기관동반매도,-562752.0,-365314.0,918495.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
028260,삼성물산,2026-06-24,2026_Q2,변동성 장세,up,5.824175824175826,481500.0,559273209750.0,259590898171.26315,거래대금급증,수급엇갈림,-520031.0,179726.0,329357.0,DART공시동반,1,2026-06-23 기업설명회(IR)개최(안내공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
080220,제주반도체,2026-06-24,2026_Q2,변동성 장세,up,1.895306859205781,112900.0,411649072150.0,347112623323.6842,거래대금평균상회,수급엇갈림,-956536.0,212025.0,684529.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
011070,LG이노텍,2026-06-24,2026_Q2,변동성 장세,down,-3.4308779011099855,957000.0,392660595500.0,422128351307.0175,거래대금약함,수급엇갈림,115101.0,-113277.0,5078.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
032830,삼성생명,2026-06-24,2026_Q2,변동성 장세,up,1.8823529411764683,433000.0,305315030500.0,162048688035.3684,거래대금평균상회,수급엇갈림,55529.0,-5020.0,-40617.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
196170,알테오젠,2026-06-24,2026_Q2,변동성 장세,up,11.561561561561561,371500.0,296248166250.0,163345239495.61404,거래대금평균상회,외국인기관동반매수,99915.0,213487.0,-311986.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
066570,LG전자,2026-06-24,2026_Q2,변동성 장세,up,1.2376237623762387,204500.0,295694415350.0,644634240135.614,거래대금약함,외국인기관동반매도,-184317.0,-28497.0,212992.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
035420,NAVER,2026-06-24,2026_Q2,변동성 장세,down,-1.5308641975308679,199400.0,290831621150.0,477396115872.2807,거래대금약함,외국인기관동반매도,-97325.0,-292466.0,367383.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
006400,삼성SDI,2026-06-24,2026_Q2,변동성 장세,up,4.264392324093813,489000.0,281296003000.0,487985503469.2982,거래대금약함,수급엇갈림,27779.0,-160166.0,131886.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
034020,두산에너빌리티,2026-06-24,2026_Q2,변동성 장세,up,1.5695067264573925,90600.0,275259608200.0,426502507303.8596,거래대금약함,수급엇갈림,751156.0,-118295.0,-617853.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
