basis_date,rank,ticker,name,price,change_rate,market_cap,trade_amount,universe_status,company_folder_exists,company_folder,report_status,first_seen_date,last_seen_date,seen_count
2026-05-07,1,005930,삼성전자,271500,2.07,0,11101719159250,new,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전자,exists,2026-05-07,2026-05-07,1
2026-05-07,2,000660,SK하이닉스,1654000,3.31,0,9481164019780,new,True,ai 주가 변동 원인 분석/00_기업별분석/SK하이닉스,exists,2026-05-07,2026-05-07,1
2026-05-07,3,010170,대한광통신,21800,19.32,0,1738060365505,new,True,ai 주가 변동 원인 분석/00_기업별분석/대한광통신,exists,2026-05-07,2026-05-07,1
2026-05-07,4,402340,SK스퀘어,1099000,0.92,0,1232811252424,new,True,ai 주가 변동 원인 분석/00_기업별분석/SK스퀘어,exists,2026-05-07,2026-05-07,1
2026-05-07,5,005380,현대차,572000,4.00,0,1195468523000,new,True,ai 주가 변동 원인 분석/00_기업별분석/현대차,exists,2026-05-07,2026-05-07,1
2026-05-07,6,034020,두산에너빌리티,136400,7.40,0,1059305076550,new,True,ai 주가 변동 원인 분석/00_기업별분석/두산에너빌리티,exists,2026-05-07,2026-05-07,1
2026-05-07,7,028050,삼성E&A,64400,21.51,0,891968370640,new,True,ai 주가 변동 원인 분석/00_기업별분석/삼성E&A,exists,2026-05-07,2026-05-07,1
2026-05-07,8,047040,대우건설,33200,3.11,0,778501466175,new,True,ai 주가 변동 원인 분석/00_기업별분석/대우건설,exists,2026-05-07,2026-05-07,1
2026-05-07,9,001440,대한전선,64100,-7.37,0,751869476050,new,True,ai 주가 변동 원인 분석/00_기업별분석/대한전선,exists,2026-05-07,2026-05-07,1
latest,9,018880,한온시스템,5410,11.55,0,730140439530,existing,False,ai 주가 변동 원인 분석\00_기업별분석\한온시스템,report_needed,2026-05-07,2026-05-07,1
2026-05-07,10,079550,LIG디펜스앤에어로스페이스,866000,-11.54,0,733117587500,new,True,ai 주가 변동 원인 분석/00_기업별분석/LIG디펜스앤에어로스페이스,report_needed,2026-05-07,2026-05-07,1
2026-05-07,11,010120,LS ELECTRIC,318500,0.95,0,676524908000,new,True,ai 주가 변동 원인 분석/00_기업별분석/LS ELECTRIC,exists,2026-05-07,2026-05-07,1
latest,11,016360,삼성증권,149500,8.41,0,648210606850,existing,False,ai 주가 변동 원인 분석\00_기업별분석\삼성증권,report_needed,2026-05-07,2026-05-07,1
2026-05-07,12,009150,삼성전기,917000,0.55,0,624669387500,new,True,ai 주가 변동 원인 분석/00_기업별분석/삼성전기,exists,2026-05-07,2026-05-07,1
latest,13,001510,SK증권,5640,8.67,0,621540204235,existing,False,ai 주가 변동 원인 분석\00_기업별분석\SK증권,report_needed,2026-05-07,2026-05-07,1
2026-05-07,13,203650,드림시큐리티,4130,9.99,0,574264452129,new,True,ai 주가 변동 원인 분석/00_기업별분석/드림시큐리티,report_needed,2026-05-07,2026-05-07,1
2026-05-07,14,329180,HD현대중공업,693000,6.94,0,554146209000,new,True,ai 주가 변동 원인 분석/00_기업별분석/HD현대중공업,exists,2026-05-07,2026-05-07,1
2026-05-07,15,454910,두산로보틱스,99100,-5.35,0,543880865750,new,True,ai 주가 변동 원인 분석/00_기업별분석/두산로보틱스,report_needed,2026-05-07,2026-05-07,1
2026-05-07,16,006800,미래에셋증권,79000,-5.73,0,540877390350,new,True,ai 주가 변동 원인 분석/00_기업별분석/미래에셋증권,report_needed,2026-05-07,2026-05-07,1
2026-05-07,17,005490,POSCO홀딩스,535000,5.73,0,497685196000,new,True,ai 주가 변동 원인 분석/00_기업별분석/POSCO홀딩스,exists,2026-05-07,2026-05-07,1
2026-05-07,18,006910,보성파워텍,15210,-3.92,0,205342636555,existing,False,ai 주가 변동 원인 분석\00_기업별분석\보성파워텍,report_needed,2026-05-07,2026-05-07,1
2026-05-07,18,042700,한미반도체,393000,-0.38,0,478918315750,new,True,ai 주가 변동 원인 분석/00_기업별분석/한미반도체,exists,2026-05-07,2026-05-07,1
2026-05-07,19,028260,삼성물산,405000,7.86,0,473890410911,new,True,ai 주가 변동 원인 분석/00_기업별분석/삼성물산,report_needed,2026-05-07,2026-05-07,1
2026-05-07,20,011790,SKC,174100,8.00,0,470741085780,new,True,ai 주가 변동 원인 분석/00_기업별분석/SKC,report_needed,2026-05-07,2026-05-07,1
2026-05-07,21,006340,대원전선,17440,-3.33,0,437785448295,new,True,ai 주가 변동 원인 분석/00_기업별분석/대원전선,exists,2026-05-07,2026-05-07,1
