basis_date,rank,ticker,name,price,change_rate,market_cap,trade_amount,universe_status,company_folder_exists,company_folder,report_status
latest,1,005930,삼성전자,262500,-1.32,0,4828479959500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\삼성전자,exists
latest,2,000660,SK하이닉스,1579000,-1.37,0,3695871831500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\SK하이닉스,exists
latest,3,010170,대한광통신,20500,12.21,0,979395044600,existing,True,ai 주가 변동 원인 분석\00_기업별분석\대한광통신,exists
latest,4,005380,현대차,570000,3.64,0,724927510000,existing,True,ai 주가 변동 원인 분석\00_기업별분석\현대차,exists
latest,5,034020,두산에너빌리티,134700,6.06,0,688601056500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\두산에너빌리티,exists
latest,6,047040,대우건설,33700,4.66,0,488114846475,existing,True,ai 주가 변동 원인 분석\00_기업별분석\대우건설,exists
latest,7,028050,삼성E&A,65500,23.58,0,480593406200,existing,True,ai 주가 변동 원인 분석\00_기업별분석\삼성E&A,exists
latest,8,402340,SK스퀘어,1059000,-2.75,0,465459688500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\SK스퀘어,exists
latest,9,001440,대한전선,62800,-9.25,0,407680283550,existing,True,ai 주가 변동 원인 분석\00_기업별분석\대한전선,exists
latest,10,010120,LS ELECTRIC,299500,-5.07,0,346781892500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\LS ELECTRIC,exists
latest,11,006800,미래에셋증권,76200,-9.07,0,305729064250,new,True,ai 주가 변동 원인 분석\00_기업별분석\미래에셋증권,report_needed
latest,12,009150,삼성전기,887000,-2.74,0,266313495500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\삼성전기,exists
latest,13,042700,한미반도체,378000,-4.18,0,262876571250,existing,True,ai 주가 변동 원인 분석\00_기업별분석\한미반도체,exists
latest,14,203650,드림시큐리티,4350,15.85,0,259933192682,existing,True,ai 주가 변동 원인 분석\00_기업별분석\드림시큐리티,report_needed
latest,15,050890,쏠리드,19270,4.50,0,259921758825,existing,True,ai 주가 변동 원인 분석\00_기업별분석\쏠리드,exists
latest,16,178320,서진시스템,68700,15.46,0,231038159000,new,True,ai 주가 변동 원인 분석\00_기업별분석\서진시스템,report_needed
latest,17,011790,SKC,170500,5.77,0,216483104250,existing,True,ai 주가 변동 원인 분석\00_기업별분석\SKC,report_needed
latest,18,006910,보성파워텍,15210,-3.92,0,205342636555,new,True,ai 주가 변동 원인 분석\00_기업별분석\보성파워텍,report_needed
latest,19,006400,삼성SDI,680500,-2.51,0,200080032500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\삼성SDI,exists
latest,20,078150,HB테크놀러지,4760,18.41,0,171066869924,new,True,ai 주가 변동 원인 분석\00_기업별분석\HB테크놀러지,report_needed
latest,21,086520,에코프로,159900,-1.78,0,166021433750,existing,True,ai 주가 변동 원인 분석\00_기업별분석\에코프로,exists
latest,22,005490,POSCO홀딩스,515000,1.78,0,165370369500,existing,True,ai 주가 변동 원인 분석\00_기업별분석\POSCO홀딩스,exists
latest,23,066570,LG전자,145800,-5.87,0,162530099800,existing,True,ai 주가 변동 원인 분석\00_기업별분석\LG전자,exists
latest,24,298040,효성중공업,4458000,-3.02,0,160624323000,existing,True,ai 주가 변동 원인 분석\00_기업별분석\효성중공업,exists
latest,25,032820,우리기술,21450,0.94,0,152880370375,new,True,ai 주가 변동 원인 분석\00_기업별분석\우리기술,report_needed
latest,26,006340,대원전선,16260,-9.87,0,152574826795,existing,True,ai 주가 변동 원인 분석\00_기업별분석\대원전선,exists
latest,27,138080,오이솔루션,54600,22.42,0,152067376475,new,True,ai 주가 변동 원인 분석\00_기업별분석\오이솔루션,report_needed
latest,28,028260,삼성물산,372000,-0.93,0,151733915250,existing,True,ai 주가 변동 원인 분석\00_기업별분석\삼성물산,report_needed
latest,29,247540,에코프로비엠,230000,0.66,0,150369200000,new,True,ai 주가 변동 원인 분석\00_기업별분석\에코프로비엠,report_needed
latest,30,000720,현대건설,167500,2.32,0,145805524150,existing,True,ai 주가 변동 원인 분석\00_기업별분석\현대건설,exists
