ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason
005930,삼성전자,2026-05-06,2026_Q2,변동성 장세,up,14.40860215053763,266000.0,13873583841584.0,5526240073116.375,거래대금급증,외국인기관동반매수,17057167.0,2112678.0,-18821557.0,DART공시동반,1,2026-05-04 주식등의대량보유상황보고서(일반),직접반응,,,ok,,False,strategy_condition_not_matched
000660,SK하이닉스,2026-05-06,2026_Q2,변동성 장세,up,10.64270905321354,1601000.0,10558101860470.0,4748998299283.542,거래대금급증,외국인기관동반매수,1346687.0,579542.0,-1818460.0,DART공시동반,9,2026-05-06 최대주주등소유주식변동신고서               / 2026-05-06 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-05-06 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched
001440,대한전선,2026-05-06,2026_Q2,변동성 장세,up,14.003294892915985,69200.0,2034537230800.0,618158661815.625,거래대금급증,수급엇갈림,-1112145.0,432274.0,766533.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
402340,SK스퀘어,2026-05-06,2026_Q2,변동성 장세,up,9.889001009081744,1089000.0,1830128857500.0,461712303314.0833,거래대금급증,수급엇갈림,-503861.0,111127.0,423594.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
006800,미래에셋증권,2026-05-06,2026_Q2,변동성 장세,up,19.20341394025604,83800.0,1684016296650.0,266396459714.58334,거래대금급증,외국인기관동반매수,2620939.0,1217627.0,-3794907.0,DART공시동반,43,2026-05-06 투자설명서(일괄신고) / 2026-05-06 일괄신고추가서류(파생결합사채-주가연계파생결합사채) / 2026-05-06 투자설명서(일괄신고),직접반응,,,ok,,False,strategy_condition_not_matched
009150,삼성전기,2026-05-06,2026_Q2,변동성 장세,down,-0.6535947712418277,912000.0,1119693435288.0,499831754989.0833,거래대금급증,외국인기관동반매도,-188683.0,-33073.0,222245.0,DART공시동반,1,2026-05-04 최대주주등소유주식변동신고서              ,직접반응,,,ok,,False,strategy_condition_not_matched
005380,현대차,2026-05-06,2026_Q2,변동성 장세,up,2.0408163265306145,550000.0,933123138500.0,539195567218.75,거래대금평균상회,수급엇갈림,305459.0,-61365.0,-233110.0,DART공시동반,2,2026-05-06 기업설명회(IR)개최(안내공시)               / 2026-05-04 영업(잠정)실적(공정공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched
010170,대한광통신,2026-05-06,2026_Q2,변동성 장세,up,3.220338983050852,18270.0,791072745935.0,736983708206.6666,거래대금평균상회,외국인기관동반매수,2734946.0,281934.0,-3040599.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
018880,한온시스템,2026-05-06,2026_Q2,변동성 장세,up,11.546391752577323,5410.0,730140439530.0,95648870095.79167,거래대금급증,외국인기관동반매수,12505371.0,870951.0,-13484862.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
047040,대우건설,2026-05-06,2026_Q2,변동성 장세,up,0.15552099533437946,32200.0,725124841100.0,1184366881584.375,거래대금약함,수급엇갈림,-966230.0,19999.0,954543.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
016360,삼성증권,2026-05-06,2026_Q2,변동성 장세,up,8.411892675852073,149500.0,648210606850.0,82293313412.5,거래대금급증,수급엇갈림,-641520.0,139645.0,682022.0,DART공시동반,6,2026-05-04 기업설명회(IR)개최(안내공시)               / 2026-05-04 기업설명회(IR)개최(안내공시)               / 2026-05-04 증권발행실적보고서,직접반응,,,ok,,False,strategy_condition_not_matched
028260,삼성물산,2026-05-06,2026_Q2,변동성 장세,up,17.343749999999993,375500.0,644451560580.0,137983913498.95834,거래대금급증,외국인기관동반매수,273670.0,133470.0,-397753.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
001510,SK증권,2026-05-06,2026_Q2,변동성 장세,up,8.670520231213864,5640.0,621540204235.0,128746744955.79167,거래대금급증,수급엇갈림,1807541.0,-550239.0,-1011490.0,DART공시동반,4,2026-05-06 자기주식처분결과보고서 / 2026-05-04 투자설명서(일괄신고) / 2026-05-04 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched
006910,보성파워텍,2026-05-06,2026_Q2,변동성 장세,up,10.313588850174217,15830.0,611311634305.0,108703520480.41667,거래대금급증,외국인기관동반매수,2376196.0,9632.0,-2318052.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
066570,LG전자,2026-05-06,2026_Q2,변동성 장세,up,8.17039106145252,154900.0,608852909600.0,167058623585.41666,거래대금급증,외국인기관동반매수,1008643.0,17431.0,-1046222.0,DART공시동반,4,2026-05-06 신탁계약에의한취득상황보고서 / 2026-05-04 [기재정정]동일인등출자계열회사와의상품ㆍ용역거래변경 / 2026-05-04 [기재정정]동일인등출자계열회사와의상품ㆍ용역거래변경,직접반응,,,ok,,False,strategy_condition_not_matched
006340,대원전선,2026-05-06,2026_Q2,변동성 장세,up,3.9769452449567755,18040.0,608770976970.0,308474927123.7083,거래대금평균상회,수급엇갈림,-1140551.0,228971.0,804411.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
006400,삼성SDI,2026-05-06,2026_Q2,변동성 장세,down,-0.9929078014184411,698000.0,566297343000.0,560164973520.8334,거래대금평균상회,외국인기관동반매도,-49058.0,-119754.0,178308.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
