signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-05-04,009150,삼성전기,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,98847,115166,42049,11.41,918000,2026-05-06,971000,5.77,912000,-0.65,958000,4.36,,,,,상승,"D+1(2026-05-06) 시가 +5.77%, 종가 -0.65%; D+5 +4.36%"
2026-05-04,062040,산일전기,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,8055,23769,-96259,0.38,333500,2026-05-06,329000,-1.35,319500,-4.20,312000,-6.45,,,,,하락 전환,"D+1(2026-05-06) 시가 -1.35%, 종가 -4.20%; D+5 -6.45%"
2026-05-04,006910,보성파워텍,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,1293305,1510379,1122602,2.86,14350,2026-05-06,14590,1.67,15830,10.31,13010,-9.34,,,,,하락 전환,"D+1(2026-05-06) 시가 +1.67%, 종가 +10.31%; D+5 -9.34%"
2026-05-04,016360,삼성증권,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,91847,124930,187952,2.19,137900,2026-05-06,161100,16.82,149500,8.41,128000,-7.18,,,,,하락 전환,"D+1(2026-05-06) 시가 +16.82%, 종가 +8.41%; D+5 -7.18%"
2026-05-04,050890,쏠리드,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,1728544,2776072,2891642,7.79,18640,2026-05-06,19020,2.04,18440,-1.07,17400,-6.65,,,,,하락 전환,"D+1(2026-05-06) 시가 +2.04%, 종가 -1.07%; D+5 -6.65%"
2026-05-04,079550,LIG디펜스앤에어로스페이스,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,15323,21395,74523,5.19,983000,2026-05-06,966000,-1.73,979000,-0.41,879000,-10.58,,,,,하락 전환,"D+1(2026-05-06) 시가 -1.73%, 종가 -0.41%; D+5 -10.58%"
2026-05-04,432720,퀄리타스반도체,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",3,133978,218409,221164,1.90,29500,2026-05-06,31250,5.93,28000,-5.08,22850,-22.54,,,,,하락 전환,"D+1(2026-05-06) 시가 +5.93%, 종가 -5.08%; D+5 -22.54%"
2026-05-04,067310,하나마이크론,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,552536,709914,776080,15.49,42050,2026-05-06,44400,5.59,43500,3.45,41400,-1.55,,,,,보합,"D+1(2026-05-06) 시가 +5.59%, 종가 +3.45%; D+5 -1.55%"
2026-05-04,247540,에코프로비엠,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,213790,226234,223312,35.81,215500,2026-05-06,218000,1.16,228500,6.03,205500,-4.64,,,,,보합,"D+1(2026-05-06) 시가 +1.16%, 종가 +6.03%; D+5 -4.64%"
2026-05-04,254490,미래반도체,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",3,41313,276151,305425,1.04,29250,2026-05-06,31450,7.52,29600,1.20,35600,21.71,,,,,상승 지속,"D+1(2026-05-06) 시가 +7.52%, 종가 +1.20%; D+5 +21.71%"
