run_date,pool_size,short_new,long_new
2026-05-04,60,0,0
2026-05-05,60,0,0
2026-05-06,60,0,0
2026-05-07,60,0,0
2026-05-11,60,0,0
2026-05-12,60,0,0
2026-05-13,60,0,0
2026-05-14,60,0,0
2026-05-15,60,0,0
2026-05-18,60,0,0
2026-05-19,60,0,0
2026-05-20,60,0,0
2026-05-21,60,0,0
2026-05-22,60,0,0
2026-05-26,60,0,0
2026-05-27,60,0,0
2026-05-28,60,0,0
2026-05-29,60,0,0
2026-06-01,60,0,0
2026-06-02,60,0,0
2026-06-04,60,0,0
2026-06-05,60,0,0
2026-06-08,60,0,0
2026-06-09,60,0,0
2026-06-10,60,0,0
2026-06-11,60,0,0
2026-06-15,60,0,0
2026-06-16,60,0,0
2026-06-17,60,0,0
2026-06-18,60,0,0
2026-06-19,60,0,0
2026-06-22,60,0,0
2026-06-23,60,0,0
2026-06-24,60,0,0
2026-06-25,60,0,0
2026-06-26,60,0,0
2026-06-30,60,0,0
2026-07-01,60,0,0
2026-07-02,60,0,0
2026-07-03,60,0,0
