signal_date,ticker,name,pattern_id,pattern_name,category,prediction_direction,confidence,basis,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_trade_amount,next_trading_day,next_close,d_plus_5_close,d_plus_10_close,d_plus_20_close,next_close_return_pct,d_plus_5_return_pct,d_plus_10_return_pct,d_plus_20_return_pct,match_label,review_note
2026-05-07,005930,삼성전자,bearish_separating_line,하락 갈림길형,추세 지속형,down,65,같은 시가 부근에서 음봉 전환,272000,277000,260500,265000,16635888,4475241586750,,,,,,,,,,,
2026-05-07,005930,삼성전자,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,272000,277000,260500,265000,16635888,4475241586750,,,,,,,,,,,
2026-05-07,005930,삼성전자,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,272000,277000,260500,265000,16635888,4475241586750,,,,,,,,,,,
2026-05-07,000660,SK하이닉스,bearish_engulfing,하락 장악형,추세 반전형,down,80,양봉 몸통을 다음 음봉이 감쌈,1622000,1648000,1567000,1584000,2313130,3710964885500,,,,,,,,,,,
2026-05-07,000660,SK하이닉스,bearish_counterattack,하락 반격형,추세 반전형,down,65,상승 후 반대 음봉이 전일 종가 부근까지 밀림,1622000,1648000,1567000,1584000,2313130,3710964885500,,,,,,,,,,,
2026-05-07,000660,SK하이닉스,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,1622000,1648000,1567000,1584000,2313130,3710964885500,,,,,,,,,,,
2026-05-07,000720,현대건설,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,172100,175500,165100,168500,870800,148097918900,,,,,,,,,,,
2026-05-07,001440,대한전선,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,69600,69600,60900,63300,6506079,411575322550,,,,,,,,,,,
2026-05-07,001440,대한전선,bearish_dark_cloud,흑운형,추세 반전형,down,72,전일 양봉 중간 아래로 밀림,69600,69600,60900,63300,6506079,411575322550,,,,,,,,,,,
2026-05-07,001440,대한전선,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,69600,69600,60900,63300,6506079,411575322550,,,,,,,,,,,
2026-05-07,001510,SK증권,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,5630,5680,5210,5260,12857130,69480015705,,,,,,,,,,,
2026-05-07,003530,한화투자증권,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,9260,9260,8360,8480,5706462,49641113140,,,,,,,,,,,
2026-05-07,003530,한화투자증권,bearish_belt_hold,하락 벨트홀드,추세 반전형,down,72,상승 뒤 고가 부근 시가에서 강하게 하락,9260,9260,8360,8480,5706462,49641113140,,,,,,,,,,,
2026-05-07,003530,한화투자증권,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,9260,9260,8360,8480,5706462,49641113140,,,,,,,,,,,
2026-05-07,005380,현대차,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,579000,596000,558000,571000,1263615,728708634500,,,,,,,,,,,
