signal_date,ticker,name,pattern_id,pattern_name,category,prediction_direction,confidence,basis,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_trade_amount,next_trading_day,next_close,d_plus_5_close,d_plus_10_close,d_plus_20_close,next_close_return_pct,d_plus_5_return_pct,d_plus_10_return_pct,d_plus_20_return_pct,match_label,review_note
2025-09-30,005930,삼성전자,bearish_separating_line,하락 갈림길형,추세 지속형,down,65,같은 시가 부근에서 음봉 전환,84600,84900,83400,83900,16319061,1371831147850,2025-10-01,86000,91600,97500,104900,2.50,9.18,16.21,25.03,예측 불일치,D+1(2025-10-01) +2.50%; D+5 +9.18%; D+10 +16.21%; D+20 +25.03%
2025-09-30,005930,삼성전자,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,84600,84900,83400,83900,16319061,1371831147850,2025-10-01,86000,91600,97500,104900,2.50,9.18,16.21,25.03,예측 불일치,D+1(2025-10-01) +2.50%; D+5 +9.18%; D+10 +16.21%; D+20 +25.03%
2025-10-02,005930,삼성전자,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,89300,90300,88700,89000,49883028,4472131514922,2025-10-10,94400,97700,96500,99200,6.07,9.78,8.43,11.46,예측 불일치,D+1(2025-10-10) +6.07%; D+5 +9.78%; D+10 +8.43%; D+20 +11.46%
2025-10-02,005930,삼성전자,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,89300,90300,88700,89000,49883028,4472131514922,2025-10-10,94400,97700,96500,99200,6.07,9.78,8.43,11.46,예측 일치,D+1(2025-10-10) +6.07%; D+5 +9.78%; D+10 +8.43%; D+20 +11.46%
2025-10-02,005930,삼성전자,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,89300,90300,88700,89000,49883028,4472131514922,2025-10-10,94400,97700,96500,99200,6.07,9.78,8.43,11.46,예측 불일치,D+1(2025-10-10) +6.07%; D+5 +9.78%; D+10 +8.43%; D+20 +11.46%
2025-10-10,005930,삼성전자,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,94000,94500,92700,94400,35269748,3311084659050,2025-10-13,93300,97900,98800,97900,-1.17,3.71,4.66,3.71,예측 일치,D+1(2025-10-13) -1.17%; D+5 +3.71%; D+10 +4.66%; D+20 +3.71%
2025-10-13,005930,삼성전자,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,91300,93400,90700,93300,23883308,2197370665497,2025-10-14,91600,98100,102000,100600,-1.82,5.14,9.32,7.82,예측 일치,D+1(2025-10-14) -1.82%; D+5 +5.14%; D+10 +9.32%; D+20 +7.82%
2025-10-13,005930,삼성전자,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,91300,93400,90700,93300,23883308,2197370665497,2025-10-14,91600,98100,102000,100600,-1.82,5.14,9.32,7.82,예측 일치,D+1(2025-10-14) -1.82%; D+5 +5.14%; D+10 +9.32%; D+20 +7.82%
2025-10-14,005930,삼성전자,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,95300,96000,90200,91600,35545235,3312011003250,2025-10-15,95000,97500,99500,103500,3.71,6.44,8.62,12.99,예측 불일치,D+1(2025-10-15) +3.71%; D+5 +6.44%; D+10 +8.62%; D+20 +12.99%
2025-10-14,005930,삼성전자,bearish_dark_cloud,흑운형,추세 반전형,down,72,전일 양봉 중간 아래로 밀림,95300,96000,90200,91600,35545235,3312011003250,2025-10-15,95000,97500,99500,103500,3.71,6.44,8.62,12.99,예측 불일치,D+1(2025-10-15) +3.71%; D+5 +6.44%; D+10 +8.62%; D+20 +12.99%
