hypothesis_id,event_id,ticker,name,quarter,date,direction,chg_pct,trade_amount,trade_amount_eok,amount_tag,flow_category,flow_tags,dart_tag,window_category,window_types,leading_signal,followup,has_usable_followup,needs_external_review,external_review_trigger,market_regime,source_file,dominant_followup,dominant_rate,usable_event_count,company_count,d1_return,d3_return,d5_return,d10_return,action_hint,entry_mode,hold_days,fee_bps,status,skip_reason,side,entry_date,exit_date,entry_price,exit_price,raw_return_pct,score_return_pct,gap_type,cache_start,cache_end,nearest_prev_date,nearest_next_date,note
H03,006340_2021_Q2_2021-06-24_up,006340,대원전선,2021_Q2,2021-06-24,up,7.744107744107742,582371391845.0,5823.71391845,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\대원전선\대원전선_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,0.94,-4.22,,,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2024-12-30,2021-01-29,2021-09-17,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,006340_2022_Q1_2022-03-31_up,006340,대원전선,2022_Q1,2022-03-31,up,25.13368983957218,238907112150.0,2389.0711215,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,후속거래일부족,False,True,B,금리 인상/긴축장,00_기업별분석\대원전선\대원전선_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,,,,,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2024-12-30,2022-02-16,2022-08-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,042700_2022_Q2_2022-04-14_up,042700,한미반도체,2022_Q2,2022-04-14,up,5.182926829268286,24235044500.0,242.350445,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,단기되돌림,True,True,B,금리 인상/긴축장,00_기업별분석\한미반도체\한미반도체_2022_Q2_events.jsonl,상승실패,0.7142857142857143,28,17,-1.74,-1.16,-1.74,-12.17,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2025-12-30,2022-02-16,2022-06-10,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,009150_2022_Q2_2022-06-08_up,009150,삼성전기,2022_Q2,2022-06-08,up,5.208333333333326,197026603000.0,1970.26603,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\삼성전기\삼성전기_2022_Q2_events.jsonl,상승실패,0.7142857142857143,28,17,0.33,-2.64,-3.96,-13.2,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2026-03-26,2022-02-16,2022-08-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,222080_2022_Q2_2022-06-09_up,222080,씨아이에스,2022_Q2,2022-06-09,up,11.46953405017921,103462498450.0,1034.6249845,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승지속,True,True,B,금리 인상/긴축장,00_기업별분석\씨아이에스\씨아이에스_2022_Q2_events.jsonl,상승실패,0.7142857142857143,28,17,11.58,8.68,4.18,0.64,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2025-04-18,2022-02-16,2022-06-10,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,058470_2023_Q1_2023-03-09_up,058470,리노공업,2023_Q1,2023-03-09,up,2.354659447135932,19851420044.0,198.51420044,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\리노공업\리노공업_2023_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-1.4,-5.58,-5.02,-5.3,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2024-12-30,2023-03-03,2023-09-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,086520_2023_Q1_2023-03-13_up,086520,에코프로,2023_Q1,2023-03-13,up,17.180478456251656,946904937000.0,9469.04937,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승지속,True,True,B,금리 인상/긴축장,00_기업별분석\에코프로\에코프로_2023_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,2.63,21.16,11.48,21.44,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2026-01-09,2023-03-03,2023-09-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,086520_2023_Q1_2023-03-15_up,086520,에코프로,2023_Q1,2023-03-15,up,20.75531315684632,1314777612000.0,13147.77612,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승유지,True,True,B,금리 인상/긴축장,00_기업별분석\에코프로\에코프로_2023_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-2.23,-10.04,1.12,11.27,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2026-01-09,2023-03-03,2023-09-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H04,086520_2023_Q1_2023-03-29_up,086520,에코프로,2023_Q1,2023-03-29,up,14.994003809344658,1313645895500.0,13136.458955,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,후속거래일부족,False,True,B,금리 인상/긴축장,00_기업별분석\에코프로\에코프로_2023_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,0.0,,,,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2026-01-09,2023-03-03,2023-09-05,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
H09,035420_2024_Q1_2024-02-02_up,035420,NAVER,2024_Q1,2024-02-02,up,9.382716049382722,397797262000.0,3977.97262,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,AI/전력기기 테마장,00_기업별분석\NAVER\NAVER_2024_Q1_events.jsonl,상승실패,0.65,40,26,-6.09,-7.67,-7.45,-8.58,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,,missing_inside_cache_range,2019-08-21,2025-12-30,2022-12-29,2024-08-19,캐시 범위 안에 있으나 해당 날짜 행이 없음. 휴장일/잘못된 이벤트 날짜/캐시 병합 문제 확인 필요
