event_id,ticker,name,quarter,date,direction,chg_pct,trade_amount,trade_amount_eok,amount_tag,flow_category,flow_tags,dart_tag,window_category,window_types,leading_signal,followup,has_usable_followup,needs_external_review,external_review_trigger,market_regime,source_file
241520_2021_Q2_2021-04-02_up,241520,DSC인베스트먼트,2021_Q2,2021-04-02,up,19.185059422750417,320660380070.0,3206.6038007,거래대금급증,수급엇갈림,외국인기관수급엇갈림|개인매수,주변공시부재,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승유지,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-04-20_up,241520,DSC인베스트먼트,2021_Q2,2021-04-20,up,7.704654895666141,179262343660.0,1792.6234366,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,주변공시부재,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-25_up,241520,DSC인베스트먼트,2021_Q2,2021-05-25,up,7.104795737122549,107459180900.0,1074.591809,거래대금급증,외국인기관동반매수,외국인기관동반매수|개인매도,주변공시부재,직접반응,직접 반응형|누적 배경형,있음,단기되돌림,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-12_up,241520,DSC인베스트먼트,2021_Q2,2021-05-12,up,6.239737274220025,36910548540.0,369.1054854,거래대금평균상회,수급엇갈림,외국인기관수급엇갈림|개인매도,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-04_up,241520,DSC인베스트먼트,2021_Q2,2021-05-04,up,4.166666666666674,9649089810.0,96.4908981,거래대금약함,수급엇갈림,외국인기관수급엇갈림|개인매수,주변공시부재,누적배경,누적 배경형,있음,상승지속,True,True,A,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-07_up,241520,DSC인베스트먼트,2021_Q2,2021-05-07,up,3.9279869067103013,6906118410.0,69.0611841,거래대금약함,외국인기관동반매수,외국인기관동반매수|개인매도,주변공시부재,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-13_down,241520,DSC인베스트먼트,2021_Q2,2021-05-13,down,-5.873261205564139,7110840360.0,71.1084036,거래대금약함,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,하락지속,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-04-15_down,241520,DSC인베스트먼트,2021_Q2,2021-04-15,down,-5.7388809182209455,10936453650.0,109.3645365,거래대금약함,수급엇갈림,외국인기관수급엇갈림|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,하락유지,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-04-22_down,241520,DSC인베스트먼트,2021_Q2,2021-04-22,down,-4.457652303120351,11057362330.0,110.5736233,거래대금약함,외국인기관동반매도,외국인기관동반매도|개인매수,주변공시부재,직접반응,직접 반응형|선반영형|누적 배경형,있음,하락지속,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
241520_2021_Q2_2021-05-20_down,241520,DSC인베스트먼트,2021_Q2,2021-05-20,down,-3.74149659863946,5319504650.0,53.1950465,거래대금약함,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,하락후반등,True,False,,유동성/저금리 후반장,00_기업별분석\DSC인베스트먼트\DSC인베스트먼트_2021_Q2_events.jsonl
