direction,amount_tag,flow_category,dart_tag,window_category,followup,event_count,company_count,external_review_count,leading_signal_count
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락후반등,296,42,126,294
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락후반등,275,38,109,271
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승실패,232,37,102,232
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락유지,204,39,49,202
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,상승실패,204,39,95,204
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승지속,202,40,52,202
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,상승유지,197,34,65,197
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,단기반등,190,37,66,189
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,하락지속,187,40,48,187
up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,단기되돌림,183,35,57,183
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,상승지속,183,34,0,182
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락지속,179,37,0,179
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락유지,157,41,41,157
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락유지,150,32,0,150
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,하락지속,147,41,50,146
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,단기반등,143,39,43,143
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,상승지속,140,41,0,139
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,상승지속,136,39,38,134
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,단기반등,132,32,0,132
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,상승유지,129,34,0,128
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,단기되돌림,128,35,0,128
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,상승실패,127,40,0,126
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,상승유지,122,37,43,121
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락후반등,119,38,110,119
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,단기되돌림,117,36,35,117
down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,하락후반등,111,36,0,110
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승지속,110,37,0,110
down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,하락유지,98,34,0,97
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,단기되돌림,96,37,29,95
up,거래대금약함,수급엇갈림,DART공시동반,직접반응,상승실패,96,35,47,95
up,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,상승실패,95,33,90,95
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,하락후반등,94,35,87,92
down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,하락지속,92,38,0,91
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,상승지속,90,34,22,90
up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,상승실패,88,34,0,88
up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,86,34,77,86
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,단기되돌림,86,33,0,85
up,거래대금급증,수급엇갈림,주변공시부재,직접반응,상승실패,86,22,29,85
down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,하락후반등,84,35,0,83
up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,상승유지,81,32,0,81
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,상승유지,72,35,19,72
down,거래대금급증,수급엇갈림,DART공시동반,직접반응,하락후반등,70,29,22,69
down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,단기반등,69,33,0,69
up,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,상승실패,68,29,58,67
down,거래대금약함,수급엇갈림,주변공시부재,선반영,하락후반등,65,27,65,65
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승유지,61,28,0,61
down,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,하락지속,60,30,0,60
down,거래대금급증,수급엇갈림,DART공시동반,직접반응,하락지속,59,29,11,59
up,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,단기되돌림,58,22,47,58
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,단기반등,54,28,42,54
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,단기반등,54,28,47,54
up,거래대금급증,수급엇갈림,주변공시부재,직접반응,상승지속,54,19,20,54
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,후속거래일부족,53,29,14,53
down,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,하락유지,53,28,0,53
down,거래대금약함,수급엇갈림,주변공시부재,누적배경,하락후반등,51,23,51,51
down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,하락후반등,48,22,0,46
down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,후속거래일부족,47,26,16,47
up,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,상승실패,46,24,0,46
up,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,단기되돌림,44,20,26,44
up,거래대금평균상회,외국인기관동반매수,주변공시부재,직접반응,상승지속,43,26,0,42
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,하락지속,43,23,41,42
up,거래대금약함,수급엇갈림,주변공시부재,누적배경,상승지속,40,22,40,40
up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,상승지속,39,22,0,37
down,거래대금약함,수급엇갈림,주변공시부재,선반영,하락지속,39,19,38,39
up,거래대금급증,수급엇갈림,주변공시부재,직접반응,단기되돌림,39,18,16,38
down,거래대금급증,수급엇갈림,DART공시동반,직접반응,하락유지,38,25,8,38
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락유지,38,24,29,38
down,거래대금약함,수급엇갈림,주변공시부재,선반영,단기반등,38,19,38,38
up,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,상승유지,37,23,30,37
up,거래대금평균상회,외국인기관동반매수,주변공시부재,직접반응,상승유지,37,23,0,36
down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,후속거래일부족,37,21,0,37
down,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,하락후반등,36,22,0,36
up,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,상승유지,34,22,27,34
down,거래대금급증,수급엇갈림,DART공시동반,직접반응,단기반등,34,21,9,34
down,거래대금약함,수급엇갈림,주변공시부재,누적배경,하락유지,34,20,30,34
down,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,하락유지,34,20,0,34
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,단기되돌림,34,20,0,34
