direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,11,11,9,하락후반등,8,0.7272727272727273,11,11,True,1.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,28,28,16,상승실패,19,0.6785714285714286,26,28,True,1.0
down,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,2,2,2,하락후반등,2,1.0,2,0,False,0.0
down,거래대금약함,외국인기관동반매수,주변공시부재,설명부족,1,1,1,하락지속,1,1.0,1,0,False,0.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
up,거래대금약함,수급엇갈림,주변공시부재,설명부족,7,6,4,단기되돌림,4,0.6666666666666666,7,0,False,0.0
down,거래대금평균상회,외국인기관동반매수,주변공시부재,설명부족,3,3,2,하락후반등,2,0.6666666666666666,3,0,False,0.0
up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,141,133,35,상승실패,86,0.6466165413533834,128,141,False,1.0
down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,13,12,11,하락지속,7,0.5833333333333334,13,13,False,1.0
down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,55,54,20,하락후반등,29,0.5370370370370371,47,55,False,1.0
down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,244,237,41,하락후반등,119,0.5021097046413502,210,244,False,1.0
up,거래대금평균상회,외국인기관동반매도,주변공시부재,선반영,6,6,6,상승지속,3,0.5,6,6,False,1.0
down,거래대금약함,수급엇갈림,주변공시부재,설명부족,6,6,4,하락후반등,3,0.5,6,0,False,0.0
up,거래대금약함,외국인기관동반매도,주변공시부재,설명부족,2,2,2,상승실패,1,0.5,2,0,False,0.0
up,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,2,2,2,상승실패,1,0.5,2,0,False,0.0
up,거래대금급증,외국인기관동반매도,주변공시부재,직접반응,71,70,16,상승실패,34,0.4857142857142857,66,70,False,0.9859154929577465
up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,235,230,41,상승지속,110,0.4782608695652174,0,235,False,1.0
up,거래대금약함,외국인기관동반매도,주변공시부재,누적배경,35,34,22,상승실패,16,0.47058823529411764,30,35,False,1.0
down,거래대금급증,수급엇갈림,주변공시부재,직접반응,68,66,26,하락지속,30,0.45454545454545453,29,65,False,0.9558823529411765
up,거래대금급증,수급엇갈림,DART공시동반,직접반응,484,462,41,상승실패,204,0.44155844155844154,174,483,False,0.9979338842975206
down,거래대금급증,외국인기관동반매도,주변공시부재,직접반응,37,37,23,하락지속,16,0.43243243243243246,0,36,False,0.972972972972973
down,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,226,219,39,하락후반등,94,0.4292237442922374,205,223,False,0.9867256637168141
up,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,227,223,38,상승실패,95,0.4260089686098655,203,227,False,1.0
down,거래대금약함,외국인기관동반매수,주변공시부재,누적배경,56,47,28,하락후반등,20,0.425531914893617,45,56,False,1.0
up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,96,93,30,상승지속,39,0.41935483870967744,0,91,False,0.9479166666666666
up,거래대금급증,수급엇갈림,주변공시부재,직접반응,220,208,30,상승실패,86,0.41346153846153844,73,218,False,0.990909090909091
down,거래대금약함,수급엇갈림,DART공시동반,직접반응,796,743,42,하락후반등,296,0.3983849259757739,274,793,False,0.9962311557788944
down,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,67,64,27,하락후반등,25,0.390625,63,65,False,0.9701492537313433
down,거래대금약함,수급엇갈림,주변공시부재,선반영,183,169,35,하락후반등,65,0.38461538461538464,182,183,False,1.0
up,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,126,120,33,상승실패,46,0.38333333333333336,0,125,False,0.9920634920634921
up,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,179,179,38,상승실패,68,0.37988826815642457,142,178,False,0.994413407821229
up,거래대금평균상회,외국인기관동반매도,주변공시부재,누적배경,31,29,20,상승실패,11,0.3793103448275862,27,31,False,1.0
down,거래대금평균상회,외국인기관동반매수,주변공시부재,누적배경,36,32,25,하락후반등,12,0.375,33,36,False,1.0
