hypothesis_id,segment,sample_count,unique_ticker_count,next_close_count,next_close_avg_return_pct,next_close_median_return_pct,next_close_positive_rate_pct,d_plus_5_count,d_plus_5_avg_return_pct,d_plus_5_median_return_pct,d_plus_5_positive_rate_pct,d_plus_10_count,d_plus_10_avg_return_pct,d_plus_10_median_return_pct,d_plus_10_positive_rate_pct,d_plus_20_count,d_plus_20_avg_return_pct,d_plus_20_median_return_pct,d_plus_20_positive_rate_pct,entry_to_d_plus_5_count,entry_to_d_plus_5_avg_return_pct,entry_to_d_plus_5_median_return_pct,entry_to_d_plus_5_positive_rate_pct,entry_to_d_plus_10_count,entry_to_d_plus_10_avg_return_pct,entry_to_d_plus_10_median_return_pct,entry_to_d_plus_10_positive_rate_pct
H01,전체 신호,32,26,31.0,-0.1,-1.38,29.0,24.0,-3.81,-3.31,45.8,21.0,-15.12,-14.32,9.5,3.0,-13.14,-17.26,33.3,,,,,,,,
H01,종목별 최초 신호,26,26,25.0,-0.17,-1.63,28.0,18.0,-4.47,-6.72,38.9,17.0,-15.14,-14.32,11.8,3.0,-13.14,-17.26,33.3,,,,,,,,
H01,D+1 종가가 이벤트 종가 초과,9,8,9.0,8.59,2.74,100.0,6.0,5.52,7.67,83.3,6.0,-9.74,-13.68,16.7,1.0,3.26,3.26,100.0,,,,,,,,
H01,외국인·기관 순매수 모두 중앙값 이상,9,9,9.0,-1.63,-1.63,44.4,7.0,-6.91,-8.21,28.6,6.0,-17.9,-18.14,0.0,1.0,-17.26,-17.26,0.0,,,,,,,,
H01,밸류에이션 특이 리스크 제한적,11,11,10.0,-3.08,-2.63,10.0,6.0,-0.28,0.27,50.0,5.0,-10.47,-12.63,20.0,0.0,,,,,,,,,,,
H01,순이익 증가,13,10,12.0,-3.23,-2.63,8.3,9.0,-1.93,1.08,55.6,7.0,-14.51,-14.97,14.3,0.0,,,,,,,,,,,
H01,D+1 종가 회복 후 종가 진입,9,8,,,,,,,,,,,,,,,,,6.0,-1.5,-2.37,50.0,6.0,-15.41,-17.73,16.7
H02,전체 신호,79,34,77.0,-2.12,-2.27,32.5,60.0,-6.96,-6.72,20.0,37.0,-12.34,-12.85,16.2,4.0,-6.05,-25.11,25.0,,,,,,,,
H02,종목별 최초 신호,34,34,34.0,-2.49,-2.51,35.3,28.0,-6.54,-5.63,21.4,20.0,-12.06,-12.68,20.0,4.0,-6.05,-25.11,25.0,,,,,,,,
H02,D+1 종가가 이벤트 종가 초과,25,20,25.0,4.34,3.48,100.0,20.0,-0.37,-4.42,35.0,14.0,-10.05,-15.93,28.6,2.0,22.73,22.73,50.0,,,,,,,,
H02,외국인·기관 순매수 모두 중앙값 이상,21,10,20.0,-2.26,-3.25,30.0,17.0,-2.95,-7.13,29.4,13.0,-8.74,-12.75,30.8,3.0,2.65,-18.04,33.3,,,,,,,,
H02,밸류에이션 특이 리스크 제한적,24,12,22.0,-1.26,-1.06,40.9,14.0,-8.84,-7.47,7.1,8.0,-20.28,-19.45,0.0,1.0,-37.5,-37.5,0.0,,,,,,,,
H02,순이익 증가,33,13,31.0,-1.26,-1.45,38.7,22.0,-8.76,-7.47,13.6,13.0,-18.04,-18.37,0.0,1.0,-37.5,-37.5,0.0,,,,,,,,
H02,D+1 종가 회복 후 종가 진입,25,20,,,,,,,,,,,,,,,,,20.0,-4.39,-8.71,25.0,14.0,-14.34,-19.58,21.4
