buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2019-08-21,monthly,22470.0,44.503783,1000000,1000000,44.503783,1000000.0
2019-09-02,monthly,22527.0,44.391175,1000000,2000000,88.894958,2002537.0
2019-10-01,monthly,23878.0,41.879554,1000000,3000000,130.774512,3122634.0
2019-11-01,monthly,24161.0,41.389015,1000000,4000000,172.163528,4159643.0
2019-12-02,monthly,24362.0,41.047533,1000000,5000000,213.211061,5194248.0
2020-01-02,monthly,26049.0,38.38919,1000000,6000000,251.60025,6553935.0
2020-09-03,monthly,28034.0,35.670971,1000000,7000000,287.271221,8053361.0
2020-10-05,monthly,27704.0,36.095871,1000000,8000000,323.367092,8958562.0
2020-11-02,monthly,26981.0,37.063118,1000000,9000000,360.43021,9724768.0
2020-12-01,monthly,31169.0,32.08316,1000000,10000000,392.51337,12234249.0
2021-01-04,monthly,35354.0,28.285343,1000000,11000000,420.798712,14876918.0
2021-09-17,monthly,37119.0,26.940381,1000000,12000000,447.739093,16619627.0
2021-10-01,monthly,36346.0,27.513344,1000000,13000000,475.252437,17273525.0
2021-11-01,monthly,35677.0,28.029263,1000000,14000000,503.2817,17955581.0
2021-12-01,monthly,34214.0,29.227801,1000000,15000000,532.509501,18219280.0
2022-01-03,monthly,36497.0,27.399512,1000000,16000000,559.909014,20434999.0
2022-02-03,monthly,33659.0,29.709736,1000000,17000000,589.61875,19845977.0
2022-10-11,monthly,26540.0,37.678975,1000000,18000000,627.297725,16648482.0
2022-11-01,monthly,27979.0,35.741092,1000000,19000000,663.038816,18551163.0
2022-12-01,monthly,30298.0,33.005479,1000000,20000000,696.044295,21088750.0
2023-01-02,monthly,27625.0,36.199095,1000000,21000000,732.24339,20228224.0
2023-02-01,monthly,30226.0,33.0841,1000000,22000000,765.32749,23132789.0
2023-03-02,monthly,29801.0,33.555921,1000000,23000000,798.883411,23807525.0
2023-10-24,monthly,30266.0,33.040375,1000000,24000000,831.923786,25179005.0
2023-11-01,monthly,29351.0,34.070389,1000000,25000000,865.994176,25417795.0
2023-12-01,monthly,32133.0,31.120655,1000000,26000000,897.11483,28826991.0
2024-01-02,monthly,34231.0,29.213286,1000000,27000000,926.328117,31709138.0
2024-02-01,monthly,32233.0,31.024106,1000000,28000000,957.352222,30858334.0
2024-03-04,monthly,34541.0,28.951102,1000000,29000000,986.303324,34067903.0
2024-08-01,monthly,37256.0,26.841314,1000000,30000000,1013.144638,37745717.0
2024-09-02,monthly,35187.0,28.419587,1000000,31000000,1041.564225,36649520.0
2024-10-02,monthly,33112.0,30.200532,1000000,32000000,1071.764756,35488275.0
2024-11-01,monthly,32896.0,30.398833,1000000,33000000,1102.163589,36256773.0
2024-12-02,monthly,32059.0,31.192489,1000000,34000000,1133.356078,36334263.0
