buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2019-08-21,weekly,22470.0,11.125946,250000,250000,11.125946,250000.0
2019-08-26,weekly,21965.0,11.381744,250000,500000,22.507689,494381.0
2019-09-02,weekly,22527.0,11.097794,250000,750000,33.605483,757031.0
2019-09-09,weekly,23203.0,10.774469,250000,1000000,44.379952,1029748.0
2019-09-16,weekly,23708.0,10.544964,250000,1250000,54.924916,1302160.0
2019-09-23,weekly,24044.0,10.397604,250000,1500000,65.32252,1570615.0
2019-09-30,weekly,23656.0,10.568143,250000,1750000,75.890663,1795270.0
2019-10-07,weekly,23477.0,10.64872,250000,2000000,86.539383,2031685.0
2019-10-14,weekly,24009.0,10.412762,250000,2250000,96.952145,2327724.0
2019-10-21,weekly,23856.0,10.479544,250000,2500000,107.431689,2562890.0
2019-10-28,weekly,24332.0,10.274536,250000,2750000,117.706225,2864028.0
2019-11-04,weekly,24585.0,10.168802,250000,3000000,127.875027,3143808.0
2019-11-11,weekly,24760.0,10.096931,250000,3250000,137.971958,3416186.0
2019-11-18,weekly,25123.0,9.951041,250000,3500000,147.922998,3716269.0
2019-11-25,weekly,24590.0,10.166734,250000,3750000,158.089733,3887427.0
2019-12-02,weekly,24362.0,10.261883,250000,4000000,168.351616,4101382.0
2019-12-09,weekly,24349.0,10.267362,250000,4250000,178.618978,4349194.0
2019-12-16,weekly,25389.0,9.846784,250000,4500000,188.465762,4784957.0
2019-12-23,weekly,25914.0,9.647295,250000,4750000,198.113057,5133902.0
2019-12-30,weekly,26193.0,9.544535,250000,5000000,207.657592,5439175.0
2020-01-06,weekly,25568.0,9.777847,250000,5250000,217.435439,5559389.0
2020-01-13,weekly,26285.0,9.511128,250000,5500000,226.946567,5965291.0
2020-09-03,weekly,28034.0,8.917743,250000,5750000,235.86431,6612220.0
2020-09-07,weekly,27798.0,8.993453,250000,6000000,244.857763,6806556.0
2020-09-14,weekly,28431.0,8.793219,250000,6250000,253.650981,7211551.0
2020-09-21,weekly,28338.0,8.822076,250000,6500000,262.473058,7437962.0
2020-09-28,weekly,27325.0,9.149131,250000,6750000,271.622189,7422076.0
2020-10-05,weekly,27704.0,9.023968,250000,7000000,280.646156,7775021.0
2020-10-12,weekly,28547.0,8.757488,250000,7250000,289.403644,8261606.0
2020-10-19,weekly,27936.0,8.949026,250000,7500000,298.35267,8334780.0
2020-10-26,weekly,28190.0,8.868393,250000,7750000,307.221063,8660562.0
2020-11-02,weekly,26981.0,9.26578,250000,8000000,316.486843,8539132.0
2020-11-09,weekly,29012.0,8.617124,250000,8250000,325.103967,9431916.0
2020-11-16,weekly,29923.0,8.354777,250000,8500000,333.458744,9978086.0
2020-11-23,weekly,30499.0,8.19699,250000,8750000,341.655734,10420158.0
2020-11-30,weekly,31553.0,7.923177,250000,9000000,349.578911,11030263.0
2020-12-07,weekly,33098.0,7.553326,250000,9250000,357.132238,11820363.0
2020-12-14,weekly,33268.0,7.514729,250000,9500000,364.646967,12131075.0
2020-12-21,weekly,33228.0,7.523775,250000,9750000,372.170742,12366489.0
2020-12-28,weekly,34018.0,7.349051,250000,10000000,379.519792,12910504.0
2021-01-04,weekly,35354.0,7.071336,250000,10250000,386.591128,13667543.0
2021-01-11,weekly,39297.0,6.361809,250000,10500000,392.952937,15441872.0
2021-01-18,weekly,37595.0,6.64982,250000,10750000,399.602757,15023066.0
2021-01-25,weekly,38765.0,6.449116,250000,11000000,406.051873,15740601.0
2021-09-17,weekly,37119.0,6.735095,250000,11250000,412.786969,15322239.0
2021-09-23,weekly,37119.0,6.735095,250000,11500000,419.522064,15572239.0
2021-09-27,weekly,37255.0,6.710509,250000,11750000,426.232573,15879294.0
2021-10-05,weekly,35541.0,7.03413,250000,12000000,433.266702,15398732.0
2021-10-12,weekly,35186.0,7.105099,250000,12250000,440.371801,15494922.0
2021-10-18,weekly,35887.0,6.966311,250000,12500000,447.338112,16053623.0
2021-10-25,weekly,35750.0,6.993007,250000,12750000,454.331119,16242337.0
2021-11-01,weekly,35677.0,7.007316,250000,13000000,461.338434,16459171.0
2021-11-08,weekly,35604.0,7.021683,250000,13250000,468.360117,16675494.0
2021-11-15,weekly,35813.0,6.980705,250000,13500000,475.340823,17023381.0
2021-11-22,weekly,35772.0,6.988706,250000,13750000,482.329529,17253892.0
2021-11-29,weekly,34733.0,7.197766,250000,14000000,489.527295,17002752.0
2021-12-06,weekly,35631.0,7.016362,250000,14250000,496.543657,17692347.0
2021-12-13,weekly,36360.0,6.875688,250000,14500000,503.419344,18304327.0
2021-12-20,weekly,36132.0,6.919075,250000,14750000,510.338419,18439548.0
2021-12-27,weekly,36570.0,6.836205,250000,15000000,517.174624,18913076.0
2022-01-03,weekly,36497.0,6.849878,250000,15250000,524.024502,19125322.0
2022-01-10,weekly,35923.0,6.95933,250000,15500000,530.983831,19074532.0
2022-01-17,weekly,35636.0,7.015378,250000,15750000,537.999209,19172140.0
2022-01-24,weekly,34556.0,7.234634,250000,16000000,545.233843,18841101.0
2022-02-03,weekly,33659.0,7.427434,250000,16250000,552.661277,18602026.0
2022-02-07,weekly,33777.0,7.401486,250000,16500000,560.062763,18917240.0
