feature,description,up_mean,up_std,up_n,down_mean,down_std,down_n,mean_diff,diff_abs
stoch_k,스토캐스틱 %K,52.046714113953264,28.353219369194044,361,50.14475838259099,27.949855025931107,332,1.9019557313622713,1.9019557313622713
rsi,RSI(14),51.68572457860006,13.176821984907178,361,53.21670493556099,12.68416638165848,332,-1.5309803569609315,1.5309803569609315
price_vs_ma240,종가 vs MA240 비율,0.00037315586797587505,0.2179557814354587,100,0.13437844258403642,0.27178177682476407,188,-0.13400528671606055,0.13400528671606055
fib_support,피보나치 지지선 근처,0.4930747922437673,0.5006459354912562,361,0.6054216867469879,0.48949768001775623,332,-0.1123468945032206,0.1123468945032206
vol_ratio,거래량 / 20일 평균,1.1056546750140188,0.7674096050294386,361,1.057436994536556,0.6643509556899777,332,0.048217680477462777,0.048217680477462777
price_vs_ma60,종가 vs MA60 비율,0.030017858821122442,0.14336393229385822,361,0.06973616390879292,0.16791148480938156,332,-0.03971830508767048,0.03971830508767048
ma_align_short,단기 정배열 (MA5>MA20>MA60),0.38227146814404434,0.48661682791643124,361,0.42168674698795183,0.4945743551931939,332,-0.0394152788439075,0.0394152788439075
bb_squeeze,볼린저밴드 수축,0.5207756232686981,0.5002615505509892,361,0.5512048192771084,0.49812190500174297,332,-0.03042919600841032,0.03042919600841032
obv_rising,OBV 상승 추세,0.590027700831025,0.4925108564031629,361,0.5632530120481928,0.4967315734208932,332,0.02677468878283218,0.02677468878283218
macd_cross_up,MACD 골든크로스,0.0443213296398892,0.20609368639422335,361,0.02710843373493976,0.16264453573417684,332,0.017212895904949437,0.017212895904949437
price_vs_ma20,종가 vs MA20 비율,0.00859379723599049,0.07124960418671435,361,0.02179855008826515,0.08753746624580315,332,-0.013204752852274659,0.013204752852274659
ma_align_long,장기 정배열 (MA60>MA120>MA240),0.34,0.47609522856952335,100,0.3351063829787234,0.47328806545297136,188,0.004893617021276608,0.004893617021276608
bb_position,볼린저밴드 위치 (종가/상단),0.924006280183256,0.0720584184114092,361,0.9210529262430646,0.06815931069673996,332,0.002953353940191472,0.002953353940191472
price_vs_ma120,종가 vs MA120 비율,0.09444056072217707,0.2445714266960514,308,0.09612250652234362,0.21701162686779712,283,-0.0016819458001665483,0.0016819458001665483
price_vs_ma5,종가 vs MA5 비율,0.0005265029776073107,0.0302794686351828,361,0.0013481061969307924,0.029325329254282138,332,-0.0008216032193234816,0.0008216032193234816
macd_hist_norm,MACD 히스토그램 (종가 정규화),6.789925720298582e-05,0.010790446736913739,361,0.00032403284744263693,0.011101339535811872,332,-0.0002561335902396511,0.0002561335902396511
