score_bin,threshold,count,avg_return_pct,win_rate_pct,profit_factor
>= 90%,0.9,2,-11.707570207570207,0.0,
>= 85%,0.85,2,-11.707570207570207,0.0,
>= 80%,0.8,3,-12.566951566951564,0.0,
>= 75%,0.75,347,6.005311481708897,48.70317002881844,2.1575369897859002
>= 70%,0.7,347,6.005311481708897,48.70317002881844,2.1575369897859002
>= 68%,0.675,347,6.005311481708897,48.70317002881844,2.1575369897859002
>= 65%,0.65,398,5.11104914434245,48.743718592964825,1.9954245260211185
>= 62%,0.625,398,5.11104914434245,48.743718592964825,1.9954245260211185
>= 60%,0.6,398,5.11104914434245,48.743718592964825,1.9954245260211185
>= 55%,0.55,1007,6.932755899843518,51.63853028798411,2.1905346957001823
>= 50%,0.5,1191,6.477553084052776,51.72124265323258,2.089319056469659
>= 45%,0.45,1191,6.477553084052776,51.72124265323258,2.089319056469659
>= 40%,0.4,1657,6.13313778997195,52.44417622208811,2.043983472219834
