signal_date,ticker,name,condition_id,matched_conditions,foreign_net_sell_streak,foreign_qty,foreign_net_sell_2d_qty,foreign_net_sell_3d_qty,foreign_volume_ratio_pct,event_close
2026-09-08,034020,두산에너빌리티,foreign_sell_streak_7,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",7,-226972,-246389,-659626,3.94,89500
2026-09-08,000720,현대건설,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-146735,-219823,-262881,8.71,131400
2026-09-08,006400,삼성SDI,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-19214,-96414,-153857,5.64,530000
2026-09-08,373220,LG에너지솔루션,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-48407,-52865,-90705,12.43,348500
2026-09-08,030530,원익홀딩스,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-208683,-214102,165064,3.59,22550
2026-09-08,017900,광전자,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all",2,-27381,-136057,-39871,0.19,8180
2026-09-08,014950,삼익제약,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all",2,-35315,-37939,54349,0.27,8750
2026-09-08,329180,HD현대중공업,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-32383,-49852,-77920,14.15,444500
2026-09-08,000990,DB하이텍,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-239634,-274565,-313499,26.72,103400
2026-09-08,012450,한화에어로스페이스,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-12403,-49876,-61306,13.63,1027000
2026-09-08,490470,세미파이브,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-291740,-313920,-275851,7.25,15930
2026-09-08,083650,비에이치아이,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-198427,-309060,-320836,22.71,65800
2026-09-08,452190,한빛레이저,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct",5,-149648,-545639,-550504,1.33,4500
