market_regime,direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
변동성 장세,up,거래대금약함,수급엇갈림,주변공시부재,선반영,10,10,9,상승지속,8,0.8,10,10,True,1.0
변동성 장세,down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,16,14,12,하락후반등,11,0.7857142857142857,0,15,True,0.9375
유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,15,15,11,상승실패,11,0.7333333333333333,13,15,True,1.0
금리 인상/긴축장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,31,28,17,상승실패,20,0.7142857142857143,28,31,True,1.0
변동성 장세,up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,15,14,10,상승지속,10,0.7142857142857143,0,15,True,1.0
변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,33,32,20,상승지속,22,0.6875,0,33,True,1.0
AI/전력기기 테마장,down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,21,21,10,하락후반등,14,0.6666666666666666,17,21,True,1.0
변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,30,29,23,하락후반등,19,0.6551724137931034,29,30,True,1.0
AI/전력기기 테마장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,42,40,26,상승실패,26,0.65,36,42,True,1.0
변동성 장세,up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,3,3,2,상승실패,3,1.0,2,3,False,1.0
유동성/저금리 후반장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,2,2,2,하락후반등,2,1.0,2,2,False,1.0
AI/전력기기 테마장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,설명부족,2,2,1,하락후반등,2,1.0,2,0,False,0.0
반도체 반등장,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,2,1,2,단기반등,1,1.0,2,2,False,1.0
AI/전력기기 테마장,down,거래대금약함,수급엇갈림,주변공시부재,설명부족,1,1,1,단기반등,1,1.0,1,0,False,0.0
AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,하락후반등,1,1.0,1,0,False,0.0
AI/전력기기 테마장,up,거래대금약함,수급엇갈림,주변공시부재,설명부족,1,1,1,단기되돌림,1,1.0,1,0,False,0.0
AI/전력기기 테마장,up,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
AI/전력기기 테마장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승실패,1,1.0,1,1,False,1.0
금리 인상/긴축장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,설명부족,1,1,1,하락지속,1,1.0,1,0,False,0.0
금리 인상/긴축장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
반도체 반등장,down,거래대금약함,외국인기관동반매수,주변공시부재,설명부족,1,1,1,하락지속,1,1.0,1,0,False,0.0
반도체 반등장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,직접반응,1,1,1,하락후반등,1,1.0,1,1,False,1.0
반도체 반등장,up,거래대금약함,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승실패,1,1.0,0,1,False,1.0
반도체 반등장,up,거래대금약함,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승실패,1,1.0,1,0,False,0.0
변동성 장세,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,1,1,1,하락지속,1,1.0,1,1,False,1.0
변동성 장세,up,거래대금약함,외국인기관동반매도,주변공시부재,누적배경,1,1,1,상승실패,1,1.0,1,1,False,1.0
변동성 장세,up,거래대금약함,외국인기관동반매도,주변공시부재,설명부족,1,1,1,상승유지,1,1.0,1,0,False,0.0
변동성 장세,up,거래대금평균상회,외국인기관동반매도,주변공시부재,누적배경,1,1,1,상승실패,1,1.0,1,1,False,1.0
유동성/저금리 후반장,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,1,1,1,하락유지,1,1.0,1,1,False,1.0
유동성/저금리 후반장,down,거래대금약함,수급엇갈림,주변공시부재,설명부족,1,1,1,하락후반등,1,1.0,1,0,False,0.0
유동성/저금리 후반장,down,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,하락후반등,1,1.0,1,0,False,0.0
유동성/저금리 후반장,up,거래대금약함,외국인기관동반매도,주변공시부재,선반영,1,1,1,상승유지,1,1.0,1,1,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,수급엇갈림,주변공시부재,설명부족,1,1,1,상승유지,1,1.0,1,0,False,0.0
유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,주변공시부재,직접반응,7,7,5,상승실패,6,0.8571428571428571,6,7,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,수급엇갈림,주변공시부재,선반영,6,5,6,상승실패,4,0.8,2,6,False,1.0
금리 인상/긴축장,up,거래대금약함,외국인기관동반매도,주변공시부재,누적배경,8,8,8,상승실패,6,0.75,7,8,False,1.0
금리 인상/긴축장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,4,4,4,하락후반등,3,0.75,4,4,False,1.0
금리 인상/긴축장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,4,4,4,상승실패,3,0.75,4,4,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,4,4,4,상승실패,3,0.75,4,4,False,1.0
AI/전력기기 테마장,down,거래대금급증,외국인기관동반매수,주변공시부재,직접반응,7,7,6,하락지속,5,0.7142857142857143,7,7,False,1.0
