candidate_id,status,condition_count,condition_key,description,train_n,train_ticker_count,train_avg_return_pct,train_median_return_pct,train_win_rate_pct,train_profit_factor,train_worst_return_pct,validation_n,validation_ticker_count,validation_avg_return_pct,validation_median_return_pct,validation_win_rate_pct,validation_profit_factor,validation_worst_return_pct,train_avg_lift_pct,validation_avg_lift_pct,train_win_rate_lift_pct,validation_win_rate_lift_pct,verdict
NEW-20260611-EV01,research_candidate,2,amount_tag=거래대금약함 & flow_category=외국인기관동반매수,amount_tag=거래대금약함 + flow_category=외국인기관동반매수,78,28,1.5,1.84,61.5,1.8,-25.17,56,23,6.83,4.99,71.4,4.56,-38.13,0.97,5.47,14.3,23.0,KEEP
NEW-20260611-EV02,research_candidate,2,flow_category=외국인기관동반매수 & chg_pct<=-5,flow_category=외국인기관동반매수 + 당일 하락률 5% 이상,37,17,3.77,3.56,62.2,3.23,-13.26,46,21,7.67,5.49,80.4,4.35,-24.72,3.24,6.31,15.0,32.0,KEEP
NEW-20260611-EV03,research_candidate,2,window_category=누적배경 & chg_pct<=-3,window_category=누적배경 + 당일 하락률 3% 이상,39,18,1.05,0.03,51.3,1.49,-12.67,36,20,7.24,4.85,66.7,4.27,-18.46,0.52,5.88,4.1,18.3,KEEP
NEW-20260611-EV04,research_candidate,2,flow_category=외국인기관동반매수 & dart_tag=DART공시동반,flow_category=외국인기관동반매수 + dart_tag=DART공시동반,112,33,2.75,2.03,64.3,2.5,-29.08,90,30,5.61,3.74,71.1,3.98,-42.2,2.22,4.25,17.1,22.7,KEEP
NEW-20260611-EV05,research_candidate,2,flow_category=외국인기관동반매수 & chg_pct<=-3,flow_category=외국인기관동반매수 + 당일 하락률 3% 이상,107,32,2.2,1.8,61.7,2.02,-29.08,90,30,6.42,4.75,76.7,3.78,-42.2,1.67,5.06,14.5,28.3,KEEP
NEW-20260611-EV06,research_candidate,1,flow_category=외국인기관동반매수,flow_category=외국인기관동반매수,148,34,2.12,1.48,60.8,2.07,-29.08,109,31,5.6,3.78,71.6,3.64,-42.2,1.59,4.24,13.6,23.2,KEEP
NEW-20260611-EV07,research_candidate,2,flow_category=외국인기관동반매수 & needs_external_review=True,flow_category=외국인기관동반매수 + needs_external_review=True,141,34,2.06,1.86,63.1,2.04,-29.08,105,31,5.57,3.78,71.4,3.55,-42.2,1.53,4.21,15.9,23.0,KEEP
NEW-20260611-EV08,research_candidate,2,needs_external_review=False & chg_pct<=-10,needs_external_review=False + 당일 하락률 10% 이상,24,14,3.1,3.49,62.5,2.56,-16.48,32,23,8.16,1.53,56.2,3.52,-33.05,2.57,6.8,15.3,7.8,KEEP
NEW-20260611-EV09,research_candidate,2,dart_tag=DART공시동반 & chg_pct<=-10,dart_tag=DART공시동반 + 당일 하락률 10% 이상,25,15,3.68,3.46,64.0,3.18,-11.15,40,22,8.12,1.47,55.0,3.27,-33.05,3.15,6.76,16.8,6.6,KEEP
NEW-20260611-EV10,research_candidate,2,amount_tag=거래대금약함 & chg_pct<=-5,amount_tag=거래대금약함 + 당일 하락률 5% 이상,58,18,1.15,1.3,51.7,1.35,-23.03,91,26,5.66,1.9,57.1,3.18,-23.71,0.62,4.3,4.5,8.7,KEEP
NEW-20260611-EV11,research_candidate,2,flow_category=외국인기관동반매수 & window_category=직접반응,flow_category=외국인기관동반매수 + window_category=직접반응,119,34,2.54,1.88,63.9,2.3,-29.08,96,30,4.9,3.45,69.8,3.16,-42.2,2.01,3.54,16.7,21.4,KEEP
NEW-20260611-EV12,research_candidate,2,needs_external_review=True & chg_pct<=-3,needs_external_review=True + 당일 하락률 3% 이상,256,34,1.94,0.99,59.0,1.89,-29.08,202,33,4.57,2.72,67.3,3.1,-42.2,1.41,3.21,11.8,18.9,KEEP
NEW-20260611-EV13,research_candidate,1,chg_pct<=-10,당일 하락률 10% 이상,30,17,2.52,3.32,60.0,1.99,-16.48,55,26,6.91,2.26,61.8,3.05,-33.05,1.99,5.55,12.8,13.4,KEEP
NEW-20260611-EV14,research_candidate,2,needs_external_review=True & chg_pct<=-7,needs_external_review=True + 당일 하락률 7% 이상,29,15,2.32,4.5,55.2,1.9,-15.23,55,23,5.88,4.94,70.9,3.05,-24.72,1.79,4.52,8.0,22.5,KEEP
