buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2022-01-18,monthly,13242.0,75.517293,1000000,1000000,75.517293,1000000.0
2022-02-03,monthly,13017.0,76.822617,1000000,2000000,152.33991,1983009.0
2022-03-02,monthly,12396.0,80.671184,1000000,3000000,233.011094,2888406.0
2022-04-01,monthly,13188.0,75.826509,1000000,4000000,308.837603,4072950.0
2022-05-02,monthly,12638.0,79.126444,1000000,5000000,387.964047,4903090.0
2022-06-02,monthly,12257.0,81.586032,1000000,6000000,469.55008,5755275.0
2023-02-06,monthly,12342.0,81.024145,1000000,7000000,550.574225,6795187.0
2023-03-02,monthly,12673.0,78.907914,1000000,8000000,629.482139,7977427.0
2023-04-03,monthly,12869.0,77.706115,1000000,9000000,707.188255,9100806.0
2023-05-02,monthly,13403.0,74.610162,1000000,10000000,781.798417,10478444.0
2023-06-01,monthly,13389.0,74.688177,1000000,11000000,856.486594,11467499.0
2024-02-21,monthly,16172.0,61.835271,1000000,12000000,918.321865,14851101.0
2024-03-04,monthly,16610.0,60.204696,1000000,13000000,978.52656,16253326.0
2024-04-01,monthly,17429.0,57.375638,1000000,14000000,1035.902199,18054739.0
2024-05-02,monthly,16922.0,59.09467,1000000,15000000,1094.996868,18529537.0
2024-06-03,monthly,17812.0,56.141927,1000000,16000000,1151.138795,20504084.0
2024-07-01,monthly,18472.0,54.13599,1000000,17000000,1205.274785,22263836.0
2024-08-01,monthly,18575.0,53.835801,1000000,18000000,1259.110586,23387979.0
2024-09-02,monthly,18413.0,54.309455,1000000,19000000,1313.420041,24184003.0
2024-10-02,monthly,18423.0,54.279976,1000000,20000000,1367.700017,25197137.0
2024-11-01,monthly,19250.0,51.948052,1000000,21000000,1419.648069,27328225.0
2024-12-02,monthly,20608.0,48.524845,1000000,22000000,1468.172914,30256107.0
