buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2022-01-18,weekly,13242.0,18.879323,250000,250000,18.879323,250000.0
2022-01-24,weekly,12557.0,19.909214,250000,500000,38.788537,487068.0
2022-02-03,weekly,13017.0,19.205654,250000,750000,57.994191,754910.0
2022-02-07,weekly,12880.0,19.409938,250000,1000000,77.404129,996965.0
2022-02-14,weekly,12652.0,19.759722,250000,1250000,97.163851,1229317.0
2022-02-21,weekly,12382.0,20.190599,250000,1500000,117.35445,1453083.0
2022-02-28,weekly,12297.0,20.330162,250000,1750000,137.684612,1693108.0
2022-03-07,weekly,12590.0,19.857029,250000,2000000,157.541642,1983449.0
2022-03-14,weekly,12524.0,19.961674,250000,2250000,177.503315,2223052.0
2022-03-21,weekly,12889.0,19.396385,250000,2500000,196.8997,2537840.0
2022-03-28,weekly,13226.0,18.902162,250000,2750000,215.801862,2854195.0
2022-04-04,weekly,13207.0,18.929356,250000,3000000,234.731218,3100095.0
2022-04-11,weekly,13150.0,19.011407,250000,3250000,253.742625,3336716.0
2022-04-18,weekly,12932.0,19.33189,250000,3500000,273.074515,3531400.0
2022-04-25,weekly,12733.0,19.634022,250000,3750000,292.708536,3727058.0
2022-05-02,weekly,12638.0,19.781611,250000,4000000,312.490147,3949250.0
2022-05-09,weekly,12600.0,19.84127,250000,4250000,332.331417,4187376.0
2022-05-16,weekly,12291.0,20.340086,250000,4500000,352.671503,4334685.0
2022-05-23,weekly,11924.0,20.966119,250000,4750000,373.637622,4455255.0
2022-05-30,weekly,12466.0,20.054548,250000,5000000,393.692171,4907767.0
2022-06-07,weekly,12381.0,20.19223,250000,5250000,413.884401,5124303.0
2022-06-13,weekly,11934.0,20.94855,250000,5500000,434.832951,5189296.0
2023-02-06,weekly,12342.0,20.256036,250000,5750000,455.088987,5616708.0
2023-02-13,weekly,12414.0,20.138553,250000,6000000,475.227541,5899475.0
2023-02-20,weekly,12716.0,19.660271,250000,6250000,494.887811,6292993.0
2023-02-27,weekly,12572.0,19.88546,250000,6500000,514.773271,6471730.0
2023-03-06,weekly,12567.0,19.893372,250000,6750000,534.666642,6719156.0
2023-03-13,weekly,12370.0,20.210186,250000,7000000,554.876828,6863826.0
2023-03-20,weekly,12433.0,20.107778,250000,7250000,574.984606,7148784.0
2023-03-27,weekly,12442.0,20.093233,250000,7500000,595.077839,7403958.0
2023-04-03,weekly,12869.0,19.426529,250000,7750000,614.504367,7908057.0
2023-04-10,weekly,13013.0,19.211558,250000,8000000,633.715925,8246545.0
2023-04-17,weekly,13018.0,19.204179,250000,8250000,652.920104,8499714.0
2023-04-24,weekly,13244.0,18.876472,250000,8500000,671.796576,8897274.0
2023-05-02,weekly,13403.0,18.65254,250000,8750000,690.449117,9254090.0
2023-05-08,weekly,13133.0,19.036016,250000,9000000,709.485133,9317668.0
2023-05-15,weekly,13321.0,18.76736,250000,9250000,728.252493,9701051.0
2023-05-22,weekly,13427.0,18.6192,250000,9500000,746.871693,10028246.0
2023-05-30,weekly,13442.0,18.598423,250000,9750000,765.470116,10289449.0
2023-06-05,weekly,13485.0,18.539118,250000,10000000,784.009233,10572365.0
2023-06-12,weekly,13403.0,18.65254,250000,10250000,802.661774,10758076.0
2023-06-19,weekly,13605.0,18.375597,250000,10500000,821.037371,11170213.0
2023-06-26,weekly,13769.0,18.156729,250000,10750000,839.1941,11554864.0
2024-02-21,weekly,16172.0,15.458818,250000,11000000,854.652917,13821447.0
2024-02-26,weekly,16488.0,15.162542,250000,11250000,869.81546,14341517.0
2024-03-04,weekly,16610.0,15.051174,250000,11500000,884.866634,14697635.0
2024-03-11,weekly,16449.0,15.198492,250000,11750000,900.065126,14805171.0
2024-03-18,weekly,16625.0,15.037594,250000,12000000,915.10272,15213583.0
2024-03-25,weekly,17117.0,14.605363,250000,12250000,929.708083,15913813.0
2024-04-01,weekly,17429.0,14.34391,250000,12500000,944.051993,16453882.0
2024-04-08,weekly,17156.0,14.572161,250000,12750000,958.624154,16446156.0
2024-04-15,weekly,17307.0,14.445022,250000,13000000,973.069176,16840908.0
2024-04-22,weekly,16708.0,14.962892,250000,13250000,988.032069,16508040.0
2024-04-29,weekly,17142.0,14.584063,250000,13500000,1002.616131,17186846.0
2024-05-07,weekly,17103.0,14.617319,250000,13750000,1017.23345,17397744.0
2024-05-13,weekly,17411.0,14.358739,250000,14000000,1031.592188,17961052.0
2024-05-20,weekly,17528.0,14.262894,250000,14250000,1045.855082,18331748.0
2024-05-27,weekly,17660.0,14.156285,250000,14500000,1060.011367,18719801.0
2024-06-03,weekly,17812.0,14.035482,250000,14750000,1074.046849,19130922.0
2024-06-10,weekly,17949.0,13.928353,250000,15000000,1087.975202,19528067.0
2024-06-17,weekly,18306.0,13.656725,250000,15250000,1101.631926,20166474.0
2024-06-24,weekly,18565.0,13.4662,250000,15500000,1115.098126,20701797.0
2024-07-01,weekly,18472.0,13.533997,250000,15750000,1128.632123,20848093.0
2024-07-08,weekly,18692.0,13.374706,250000,16000000,1142.006829,21346392.0
2024-07-15,weekly,18897.0,13.229613,250000,16250000,1155.236442,21830503.0
2024-08-01,weekly,18575.0,13.45895,250000,16500000,1168.695393,21708517.0
2024-08-05,weekly,17545.0,14.249074,250000,16750000,1182.944466,20754761.0
2024-08-12,weekly,17834.0,14.018168,250000,17000000,1196.962634,21346632.0
