rank,feature,description,direction,ic,mean_diff,score,sample_n,interpretation
1,rsi,RSI(14),-1,-0.12378731123564539,-9.149563423661533,0.8245287777555669,570,강한 예측력
2,ma_align_short,단기 정배열 (MA5>MA20>MA60),1,-0.17495253710256464,-0.29632768361581924,0.6129548337945607,570,강한 예측력
3,price_vs_ma120,종가 vs MA120 비율,1,-0.12754328880939636,-0.24200908047907843,0.447990045473612,396,강한 예측력
4,obv_rising,OBV 상승 추세,1,-0.11411598682384098,-0.2604519774011299,0.4027473776150923,570,강한 예측력
5,stoch_k,스토캐스틱 %K,-1,-0.008622275517422394,-8.269037018609964,0.3910753130809632,570,노이즈 수준
6,price_vs_ma60,종가 vs MA60 비율,1,-0.10654489105488132,-0.13479354606511207,0.3712887659458238,570,강한 예측력
7,bb_squeeze,볼린저밴드 수축,0,0.09974910717078701,0.2598870056497175,0.353451441946728,570,유의미
8,price_vs_ma20,종가 vs MA20 비율,1,-0.07425592337154985,-0.0867782589858659,0.25845457160592905,570,유의미
9,fib_support,피보나치 지지선 근처,1,-0.06847293550304347,0.06892655367231643,0.23784136599830033,570,유의미
10,macd_cross_up,MACD 골든크로스,1,-0.03442051026717413,-0.04124293785310734,0.11984824986038049,570,약한 예측력
11,vol_ratio,거래량 / 20일 평균,1,-0.02780562631156835,-0.16880997514367335,0.10273946215357839,567,약한 예측력
12,price_vs_ma5,종가 vs MA5 비율,1,-0.017206228347716738,-0.019855580832831343,0.05987683201743596,570,노이즈 수준
13,bb_position,볼린저밴드 위치 (종가/상단),1,0.009662436612280768,0.004192876072657614,0.033320645369794205,570,노이즈 수준
14,macd_hist_norm,MACD 히스토그램 (종가 정규화),1,-0.005006997640691759,-0.005925718933038206,0.017430566433415663,570,노이즈 수준
15,price_vs_ma240,종가 vs MA240 비율,1,,,,0,노이즈 수준
16,ma_align_long,장기 정배열 (MA60>MA120>MA240),1,,,,0,노이즈 수준
